Gunnar Myrdal|గున్నార్ మిర్థాల్
Norman Borlaug|నార్మన్ బోర్లాగ్
Louis Néel|లూయిస్ నీల్
Eugene Wigner|యూజీన్ విగ్నేర్
Russell Alan Hulse|రస్సెల్ అలాన్ హుల్సే
Charles Lucien Bonaparte|చార్లెస్ లూసిన్ బొనపార్టే
Kirron Kher|కిరణ్ ఖేర్
Aruna Irani|అరుణా ఇరానీ
Manoj Bajpai|మనోజ్ బాజ్‌పాయ్
John Napier|jothan nepior history
William Shockley|విలియం షాక్లే
Robert Frost|రోబెర్ట్ ఫ్రోస్ట్
Carl David Anderson|కార్ల్ డేవిడ్ ఆండర్సన్
Ja'far al-Sadiq|జాఫర్ అల్ సాదిక్
Henry James|హెన్రీ జేమ్స్
Omar Sharif|ఒమర్ షరీఫ్
T. E. Lawrence|టి ఇ లారెన్స్
Bāṇabhaṭṭa|బాణభట్టుడు
Aishwarya R. Dhanush|ఐశ్వర్య ధనుష్
Ötzi|మంచుమనిషి
Pyotr Kapitsa|పయోట్ర్ లియోనిడోవిచ్ కాపిస్తా
Jean Tirole|జీన్‌ టిరోల్‌
Helen Clark|హెలెన్ క్లార్క్
Mark Spitz|మార్క్ స్పిట్జ్
Ursula K. Le Guin|ఉర్సులా కె.లిగూన్
Wilt Chamberlain|విల్ట్ చాంబర్లిన్
Ramakrishna|రామకృష్ణ పరమహంస
Edward Mills Purcell|ఎడ్వర్డ్ మిల్స్ ప్రుసెల్
Walter Houser Brattain|వాల్టర్ హౌసర్ బ్రాట్టైం
John Kenneth Galbraith|జాన్ కెన్నెత్ గాల్‌బ్రెత్
Pitbull|పిట్బుల్
Preity Zinta|ప్రీతీ జింటా
Randal Cremer|రాన్డల్ క్రెమెర్
Fredrik Bajer|ఫ్రెడ్రిక్ బజెర్
Gary Becker|గారి బెకర్
David Trimble|డేవిడ్ ట్రిమ్బ్ల్
Carlos Saavedra Lamas|కార్లోస్ సావేద్ర లామాస్
Richard Branson|రిచర్డ్ బ్రాన్సన్
Miguel de Noronha, 4th Count of Linhares|మిగ్యుఎల్ డి నోర్నోహా, 4 కౌంట్ అఫ్ లింహెర్స్
Sean Paul|సీన్ పౌల్
Chandrika Kumaratunga|చంద్రికా కుమరతుంగా
L. Frank Baum|ఎల్. ఫ్రాంక్ బామ్
Amir Khosrow|అమీర్ ఖుస్రో
Hariprasad Chaurasia|హరిప్రసాద్ చౌరాసియా
Steve Biko|స్టీవ్ బికో
Johann Heinrich von Bernstorff|జోహన్ హీన్రిచ్ వాన్ బెర్న్స్టోర్ఫ్
Josh Hutcherson|జోష్ హచర్సన్
René Laennec|రెనే లేనెక్
Bhimrao Ramji Ambedkar|బీ.ఆర్. అంబేడ్కర్
Mumtaz Mahal|ముంతాజ్ మహల్
Madhuri Dixit|మాధురీ దీక్షిత్
Atal Bihari Vajpayee|అటల్ బిహారీ వాజపేయి
Elizabeth Blackwell|ఎలిజబెత్ బ్లాక్‌వెల్
Jill Stein|జిల్ స్టీన్
H. Rider Haggard|హెచ్. రైడర్ హాగర్డ్
Tracey Adams|ట్రేసీ ఆడమ్స్
Vince Carter|విన్స్ కార్టర్
Lal Bahadur Shastri|లాల్ బహాదుర్ శాస్త్రి
Anna Sewell|అన్నా సెవెల్
Chhotu Ram|చోటు రామ్
Kasturba Gandhi|కస్తూరిబాయి గాంధీ
Don Rickles|డాన్ రికిల్స్
Terra Naomi|టెర్రా ణొమి
Urvashi|ఊర్వశి (నటి)
Charaka|చరకుడు
Dharamvir Bharati|ధర్మవీర్ భారతీ
Sandy Powell|సాండీ పోవెల్
Malaika Arora|మలైకా అరోరా
B. Nagi Reddy|బి. నాగిరెడ్డి
Sandi Toksvig|శాండీ టోక్స్విగ్
Nick Vujicic|నిక్ వుజిసిక్
Bimbisara|బింబిసారుడు
Fakhruddin Ali Ahmed|ఫకృద్దీన్ అలీ అహ్మద్
John Newlands|John Alexander Reina Newlands
Oliver Wendell Holmes|ఒలీవర్ వెండెల్ హొంస్
Jamsetji Tata|జమ్సేట్జి టాటా
Abhimanyu|అభిమన్యుడు
Satish Dhawan|సతీష్ ధావన్
Mary Kom|మేరీ కాం
Shruti Haasan|శ్రుతి హాసన్
Fareed Zakaria|ఫరీద్ జకారియ
Nazrul Islam|ఖాజీ నజ్రుల్ ఇస్లాం
George Eden, 1st Earl of Auckland|జార్జ్ ఈడెన్
Ram Swarup|రామ్ స్వరూప్
