Ptolemy IV Philopator|நான்காம் தாலமி
Nostradameus|நோஸ்ராடாமஸ்
Chandra Wilson|சந்திரா வில்சன்
Dilma Rousseff|டில்மா ரூசெஃப்
Edward Jenner|எட்வர்ட் ஜென்னர்
Doris Lessing|டோரிஸ் லெஸ்சிங்
Eva Perón|இவா பெரோன்
Daniel Defoe|டானியல் டீஃபோ
Martin Scorsese|மார்ட்டின் ஸ்கோர்செசி
Michael Jordan|மைக்கல் ஜார்டன்
Ludwig Mies van der Rohe|லுட்விக் மீஸ் வான் டெர் ரோ
Rosa Parks|றோசா பாக்ஸ்
Democritus|டெமோக்கிரட்டிசு
Henri Bergson|என்றி பெர்குசன்
Wisława Szymborska|விஸ்லவா சிம்போர்ஸ்கா
Leif Erikson|லீப் எரிக்சன்
Ivan Pavlov|இவான் பாவ்லோவ்
Antoni van Leeuwenhoek|ஆன்டன் வான் லீவன்ஹூக்
Sitting Bull|வீற்றிருக்கும் எருது
Ambrose|அம்புரோசு
Leo XIII|பதின்மூன்றாம் லியோ
Ignatius of Loyola|லொயோலா இஞ்ஞாசி
Rudolf Mössbauer|ரூடால்ஃப் மாஸ்பவர்
Hans Christian Ørsted|ஆன்சு கிருத்தியான் ஆர்ஸ்டெட்
Ray Lewis|ரே லூயிஸ்
Randy Orton|ரேண்டி ஆர்டன்
Eduardo Galeano|எதுவார்தோ காலியானோ
Peter Canisius|பீட்டர் கனிசியு
Francisco Pizarro|பிரான்சிஸ்கோ பிசாரோ
Robert Hooke|ராபர்ட் ஹூக்
I. M. Pei|ஐ. எம். பேய்
Khaled Mashal|காலித் மசால்
Enrique Iglesias|என்றீக் இக்லெசியாசு
Sylvester I|முதலாம் சில்வெஸ்தர்
Elfriede Jelinek|எல்ஃபிரெட் எலினெக்
Catherine Zeta-Jones|கேதரின் ஜீடா-ஜோன்ஸ்
Ernst Haeckel|ஏர்ன்ஸ்ட் ஹேக்கல்
Charles XIV John of Sweden|காருல் யோவான்
Jeff Daniels|ஜெஃப் டானியல்சு
Robert Altman|ராபர்ட் ஆல்ட்மன்
Mohsen Makhmalbaf|மோசன் மக்மால்பஃப்
Leni Riefenstahl|லெனி ரீபென்ஸ்டால்
Govind Sakharam Sardesai|கோவிந்த் சகாராம் சர்தேசாய்
A. H. Salunkhe|எ. ஹ. சலுன்கே
Darleane C. Hoffman|டார்லீன் சி. ஆப்மேன்
Max von Laue|மேக்ஸ் வோன் உலோ
Daniel Gabriel Fahrenheit|டானியல் ஃபேரென்ஃகைட்
Karl Weierstraß|கார்ல் வியர்ஸ்ட்ராஸ்
Friedrich Georg Wilhelm von Struve|பிரீட்ரிக் வில்கெல்ம் வான் சுத்ரூவ
Yoweri Museveni|யோவேரி முசவேனி
Traian Băsescu|திரையன் பாசேசுக்கு
Abdullah of Saudi Arabia|சவூதி அரேபியாவின் அப்துல்லாஹ் இப்னு அப்துல் அசீஸ்
Andry Rajoelina|ஆண்ட்ரி ராசொய்லினா
Otto Pérez Molina|ஒட்டோ பெரெஸ் மொலினா
Yingluck Shinawatra|யிங்லக் சினாவத்ரா
Essam Sharaf|எசாம் சரஃப்
Hamadi Jebali|அமாதி ஜெபாலி
Kamla Persad-Bissessar|கம்லா பெர்சாத் பிசெசார்
Antonis Samaras|அன்டோனிசு சமராசு
Baburam Bhattarai|பாபுராம் பட்டாராய்
Julius Richard Petri|ஜூலியஸ் ரிச்சர்டு பெட்ரி
Milarepa|மிலரேபர்
Liam Neeson|லியம் நீசோன்
Hermann Carl Vogel|எர்மன் கார்ல் வோகல்
Max Born|மாக்ஸ் போர்ன்
George Gamow|ஜார்ஜ் காமாவ்
Oskar Schindler|ஆஸ்கர் ஷிண்ட்லர்
Herbert Marcuse|எர்பர்ட் மார்குசே
Martin Schwarzschild|மார்ட்டின் சுவார்சுசைல்டு
Walter Gropius|வால்ட்டர் குரோப்பியசு
Viktor Knorre|விக்தர் நோர்
Genelia D'Souza|ஜெனிலியா
Ludwig Struve|உலூத்விக் சுத்ரூவ
Christian Samuel Weiss|கிறிஸ்டியன் சாமுவேல் வெயிஸ்
Shripad Narayan Pendse|சிறீபத் நாராயண் பென்சே
Nathaniel Hawthorne|நாதனீல் ஹாதோர்ன்
Ajmal Kasab|அஜ்மல் கசாப்
Carl Wilhelm Scheele|காரல் வில்லெம் சீலெ
Žydrūnas Ilgauskas|சிட்ருனாஸ் இல்கவுச்காஸ்
Victoria Ocampo|விக்டோரியா ஒகாம்போ
Gottfried Münzenberg|காட்பிரீடு மூன்சென்பெர்கு
Willard Boyle|வில்லார்டு பாயில்
Anne Enright|ஆன் என்ரைட்
Thibaut Courtois|தீபோ கூர்த்துவா
B. C. Shekhar|பி. சி. சேகர்
Friedrich Bessel|பிரீட்ரிக் வில்கெல்ம் பெசல்
Alfred Rosenberg|ஆல்பிரட் ரோசன்பெர்க்
Christian Gottfried Daniel Nees von Esenbeck|கிறிசுடியன் காட்பிரட்டு டேனியல் நீசு வோன் சென்பெக்
Siegfried Lenz|சீக்பிரீட் லென்சு
Emil Adolf von Behring|எமில் அடால்ஃப் வான் பெர்ரிங்
Johann Gottfried Galle|யோகான் கோட்பிரீடு கல்லே
Eva Braun|இவா பிரான்
Rainer Maria Rilke|ரெய்னர் மரியா ரில்கே
Hans Fischer|ஹான்ஸ் பிஷ்ஷர்
Frank-Walter Steinmeier|பிராங் வால்டர் சென்மர்
Wilhelm Eduard Weber|வில்கெம் எடுவர்டு வெபர்
Max Wolf|மேக்சு வுல்ஃப்
Ferdinand von Richthofen|பேர்டினண்ட் வொன் ரிச்தோஃபென்
Erwin Neher|எர்வின் நேயெர்
Angelique Kerber|ஏஞ்சலிக் கெர்பர்
Ferdinand von Lindemann|லிண்டெமன்
Ernst Meumann|எர்ன்ஸ்ட் மீமன்
Johann Bayer|ஜோஹன் பாயர்
John Milton|ஜான் மில்டன்
Al Capone|அல் கபோன்
Anaximenes of Miletus|அனாக்சிமேனசு
Tenzing Norgay|டென்சிங் நோர்கே
Charlton Heston|சார்ள்டன் ஹெஸ்டன்
Harrison Ford|ஹாரிசன் போர்ட்
Aldous Huxley|ஆல்டசு அக்சுலி
Pierce Brosnan|பியர்ஸ் புரோஸ்னன்
Alvar Aalto|அல்வார் ஆல்ட்டோ
Anaxagoras|அனாக்சகோரசு
Pius I|முதலாம் பயஸ்
Cary Grant|கேரி கிராண்ட்
Sher Shah Suri|சேர் சா சூரி
Otto Wagner|ஓட்டோ வாக்னர்
Luca Pacioli|லூகா பசியோலி
Jakob Meisenheimer|யாக்கோபு மெய்செனெய்மர்
Erika Böhm-Vitense|எரிக்கா போகும் விதென்சே
Yukihiro Matsumoto|யுகிரோ மாட்சுமோட்டோ
Hilary Swank|ஹிலாரி ஸ்வாங்க்
Ahmed Adly|அகமத் அத்லி
Chaman Lal Chaman|சாமன் லால் சாமன்
Andrew Flintoff|ஆன்ட்ரூ பிளின்டொஃப்
Karl Graul|காரல் கிரவுல்
Fred Astaire|பிரெட் அஸ்ரயர்
Liberius|லிபேரியஸ்
Darius III|மூன்றாம் டேரியஸ்
Jennifer Connelly|ஜெனிஃபர் கானலி
Adeodatus II|இரண்டாம் ஆதேயோதாத்துஸ்
Marinus II|இரண்டாம் மரீனுஸ்
Anastasius III|மூன்றாம் அனஸ்தாசியுஸ்
Leo VI|ஆறாம் லியோ
Steven Soderbergh|ஸ்டீவன் சோடர்பெர்க்
Urbain Le Verrier|உர்பைன் லெவெரியே
Eugene II|இரண்டாம் யூஜின்
Jack Szostak|ஜாக் சோஸ்டாக்
Sidney Sheldon|சிட்னி ஷெல்டன்
Tom Clancy|டாம் கிளான்சி
Bonnie Wright|போனி ரைட்
Rod Laver|ராட் லாவர்
William Hurt|வில்லியம் கேர்ட்
Ei-ichi Negishi|ஐ-இச்சி நெகிழ்சி
Samuel Pepys|சாமுவேல் பெப்பீசு
João Bernardo Vieira|ஜொவாவோ பேர்னார்டோ வியெய்ரா
Richard F. Heck|ரிச்சர்டு ஃகெக்
Saul Perlmutter|சோல் பெர்ல்மட்டர்
Mirza Ghalib|கலிப்
Mary Harris Jones|மேரி ஹாரிசு ஜோன்சு
Gregory Peck|கிரிகோரி பெக்
Thomas A. Steitz|தாமஸ் ஸ்டைட்ஸ்
Clark Gregg|கிளார்க் கிரெக்
Liya Kebede|லியா கெபிடே
Howard Zinn|ஓவர்ட் சின்
Anne of Great Britain|பெரிய பிரித்தானியாவின் அரசி ஆன்
Colonel Sanders|காலனெல் சாண்டர்ஸ்
Krishnadevaraya|கிருஷ்ணதேவராயன்
Callixtus I|முதலாம் கலிஸ்டஸ்
Charles II of England|இங்கிலாந்தின் இரண்டாம் சார்லசு
Alfred Werner|ஆல்பிரட் வெர்னெர்
Edith Alice Müller|எடித் அலைசு மூல்லர்
Gloria Macapagal-Arroyo|குளோரியா மகபகல்-அர்ரொயோ
Georgy Zhukov|ஜார்ஜி சுகோவ்
Steve Irwin|இசுடீவ் இர்வின்
Nagasena|நாகசேனர்
Albert A. Michelson|ஆல்பர்ட் ஆபிரகாம் மைக்கல்சன்
Bahadur Shah Zafar|பகதூர் சா சஃபார்
Douglas MacArthur|டக்ளசு மக்கார்த்தர்
Luke the Evangelist|லூக்கா
Carmelo Anthony|கார்மெலோ ஆந்தனி
Xerxes I|செர்கஸ்
Damasus I|முதலாம் தாமசுஸ்
Dionysius|தியோனீசியுஸ்
Zulfiqar Ali Bhutto|சுல்பிக்கார் அலி பூட்டோ
Humphry Davy|ஹம்பிரி டேவி
Gabriel Bertrand|கேப்ரியல் பெர்ட்ராண்டு
Anterus|அந்தேருஸ்
Sania Mirza|சானியா மிர்சா
Karl Urban|கார்ல் அர்பன்
Sylvia Plath|சில்வியா பிளாத்
Mohamed ElBaradei|முகமது அல்-பராதிஈ
Banksy|பாங்க்சி
Nawaz Sharif|நவாஸ் ஷெரீப்
Magic Johnson|மேஜிக் ஜான்சன்
Yukio Mishima|இயூக்கியோ மிசிமா
Ted Kennedy|எட்வர்ட் கென்னடி
Felix I|முதலாம் ஃபெலிக்ஸ்
Danny Boyle|டேனி பாயில்
Elias James Corey|எலியாஸ் ஜேம்ஸ் கோரி
Park Geun-hye|பார்க் குன் ஹே
Mahasweta Devi|மகாசுவேதா தேவி
John Bosco|ஜான் போஸ்கோ
Yang Liwei|யங் லிவே
Edgar Rice Burroughs|எட்கர் ரைசு பர்ரோசு
Juan Gris|ஜுவான் கிரிஸ்
