Rosa Parks|রোজা পার্কস
Democritus|দেমোক্রিতোস
Henri Bergson|অঁরি বের্গসন
Fernando Torres|ফের্নান্দো তোরেস
Dustin Hoffman|ডাস্টিন হফম্যান
Ivan Pavlov|ইভান পাভলভ
Antoni van Leeuwenhoek|অ্যান্থনি ভন লিউয়েনহুক
Werner Herzog|ভের্নার হের্‌ৎসগ
Rudolf Mössbauer|রুডল্‌ফ ম্যোসবাউয়ার
Hans Christian Ørsted|হান্স ক্রিশ্চিয়ান ওরস্টেড
Randy Orton|র্যান্ডি অরটন
Francisco Pizarro|ফ্রান্সিসকো পিসার্‌রো
Andreas Hamran Færø|Andreas Hamran Færø
Oswald von Wolkenstein|অসোয়াল্ট ফন ভোলকেনস্টাইন
Sabrina Sabrok|সাবরিনা স্যাব্রোক
Jack London|জ্যাক লন্ডন
Mario Gómez|মারিও গোমেজ
Behramji Malabari|বেহরামজী মালাবারী
Melissa Benoist|মেলিসা বেনোইস্ট
Robert Hooke|রবার্ট হুক
Khaled Mashal|খালেদ মিশাল
Enrique Iglesias|এনরিকে ইগলেসিয়াস
Srinibash Udgata|শ্রীনিবাস উদ্গত
Elfriede Jelinek|এলফ্রিডে ইয়েলিনেক
Víctor Valdés|ভিক্তর ভালদেস
Ivo Andrić|ইভো আন্দ্রিচ
Catherine Zeta-Jones|ক্যাথরিন জিটা-জোন্স
Ernst Haeckel|আর্নস্ট হেকেল
Marianne Faithfull|মারিয়ান ফেইথফুল
Richard Laurence Millington Synge|রিচার্ড লরেন্স মিলিংটন সিঞ্জ
Isaak Babel|আইজাক বাবেল
George Stevens|জর্জ স্টিভেন্স
Alan J. Pakula|অ্যালান জে পাকুলা
Arthur Ashe|আর্থার অ্যাশ
Tommy Haas|টমি হাস
Göran Persson|জোরান পের্শোন
Enver Hoxha|এনভার হোক্সা
Oleksandr Dovzhenko|অলিয়েক্সান্দর দভজেন্‌কো
Mohsen Makhmalbaf|মোহসেন মাখ্মলবফ
Yasujirō Ozu|ইয়াসুজিরো ওজু
Bimal Roy|বিমল রায়
Mehboob Khan|মেহবুব খান
Leni Riefenstahl|লেনি রিফনশ্টাল
Satish Alekar|সতিশ আলেকর
Narayan Gangaram Surve|নারায়ণ গঙ্গারাম সুর্বে
Shreedhar Swami|শ্রীধর স্বামী
Tryambak Shankar Shejwalkar|ত্র্যম্বক শংকর শেজওয়ালকার
Govind Sakharam Sardesai|গোবিন্দ সখারাম সরদেশাই
Pandurang Sadashiv Sane|পান্ডুরং সদাশিব সানে
Bal Samant|বাল সামন্ত
Blake Edwards|ব্লেক এডওয়ার্ডস
Max von Laue|মাক্স ফন লাউয়ে
Daniel Gabriel Fahrenheit|ডানিয়েল গাব্রিয়েল ফারেনহাইট
Adolf von Baeyer|আডলফ ফন বাইয়ার
Stefan George|স্টিফান জর্জ
Abdullah of Saudi Arabia|আবদুল্লাহ বিন আবদুল আজিজ
Jalal Talabani|জালাল তালেবানি
Ali Khamenei|আলী খামেনেয়ী
Dalia Grybauskaitė|ডালিয়া গ্রাইবস্কেইট
Helmut Newton|হেলমুট নিউটন
Friedrich Olbricht|ফ্রেডরিক ওলব্রিক্ট
Joseph Kabila|জোসেফ কাবিলা
Tsakhiagiin Elbegdorj|সাখিয়াজিন এলবেগদর্জ
Yingluck Shinawatra|ইংলাক সিনাওয়াত্রা
Martin McGuinness|মার্টিন ম্যাকগিনেস
Friedrich Paschen|ফ্রেডরিখ প্যাশ্চেন
Baburam Bhattarai|বাবুরাম ভট্টরাঈ
Ernst Chain|এর্নস্ট বরিস কাইন
Milarepa|মি-লা-রাস-পা
Liam Neeson|লিয়াম নিসন
Abd ar-Rahman ibn Nasir as-Sa'di|আব্দুর রহমান ইবনে নাসির আস-সাদি
Max Born|মাক্স বর্ন
Diogenes of Sinope|দিওগেনেস
Mousa Dembélé|মুসা দেম্বেলে
George Gamow|জর্জ গ্যামো
Serge Gnabry|সের্জ নাব্রি
Gottlob Frege|গট্‌লব ফ্রেগে
Oskar Schindler|অস্কার শিন্ডলার
Eckhart Tolle|একার্ট টোলে
Rose Ausländer|রোজা আউসলেন্ডার
Martin Schwarzschild|মার্টিন শোয়ার্জশিল্ড
Christian Friedrich Daniel Schubart|ক্রিস্টিয়ান ফ্রিডরিখ ডানিয়েল শুবার্ট
Emil Wiechert|এমিল ওয়াইখার্ট
Genelia D'Souza|জেনেলিয়া ডি’সুজা
Franz Leydig|ফ্রানৎস‌ লেডিগ
Carl Einstein|কার্ল আইনস্টাইন
Alfred Rethel|আলফ্রেড রেথেল
Helma Sanders-Brahms|হেল্ম স্যান্ডার্স-ব্রাহ্মস
Shripad Narayan Pendse|শ্রীপদ নারায়ণ পেন্ডসে
Elsa Einstein|এলসা লভেন্থাল
Nathaniel Hawthorne|ন্যাথানিয়েল হথর্ন
Ajmal Kasab|আজমল কাসাব
Padamsinh Bajirao Patil|পদমসিং বাজীরাও পাটিল
Pierre Beaumarchais|পিয়ের বোমার্শে
Hans Georg Dehmelt|হ্যান্স গেয়র্গ ডেমেল্ট
Carl Wilhelm Scheele|কার্ল ভিলহেল্ম শেলে
Abdul Hamid Khan Bhashani|আবদুল হামিদ খান ভাসানী
Manfred von Ardenne|মানফ্রেড ফন আর্ডেন
Hermann Weyl|হের্মান ভাইল
Samuel Goldwyn|স্যামুয়েল গোল্ডউইন
Victoria Ocampo|ভিক্টোরিয়া ওকাম্পো
Willard Boyle|উইলার্ড বয়েল
Thibaut Courtois|থিবো কোর্তোয়া
Friedrich Bessel|ফ্রিডরিশ ভিলহেল্ম বেসেল
Gerry Adams|জেরি এডামস
Abdurrahman Wahid|আবদুর রহমান ওয়াহিদ
Emil Adolf von Behring|এমিল ফন বেরিং
Eva Braun|ইভা ব্রাউন
Rainer Maria Rilke|রাইনার মারিয়া রিলকে
Carl Gustav Jacob Jacobi|কার্ল গুস্তাফ ইয়াকপ ইয়াকবি
Gerhard Herzberg|গেরহার্ড হার্জবার্গ
Hans Fischer|হান্স ফিশার
Herman Bing|হারম্যান বিং
Max Wolf|ম্যাক্স উলফ
Karl Lagerfeld|কার্ল লাগারফেল্ড
J. Hans D. Jensen|ইয়োহানেস হান্স ডানিয়েল ইয়েনসেন
Wilhelm Kühne|ভিলহেলম কুন
Selma Ergeç|সেলমা এরগেচ
Meryem Uzerli|মেরিয়েম উজেরলি
Angelique Kerber|অ্যাঞ্জেলিক কারবার
Mike Mareen|মাইক মারীন
Joseph Schumpeter|জোসেফ শম্পেটার
John Milton|জন মিলটন
José Mourinho|জোসে মরিনহো
Abbas Mirza|আব্বাস মির্জা
Nicolae Ceaușescu|নিকোলাই চসেস্কু
Anaximenes of Miletus|মিলেতুসের আনাক্সিমেনিস
Tenzing Norgay|তেনজিং নোরগে
Charlton Heston|চার্লটন হেস্টন
Harrison Ford|হ্যারিসন ফোর্ড
Aldous Huxley|অ্যালডাস হাক্সলি
Pierce Brosnan|পিয়ার্স ব্রসনান
Anaxagoras|আনাক্সাগোরাস
Jürgen Klopp|ইয়ুর্গেন ক্লপ
Cary Grant|ক্যারি গ্র্যান্ট
John Terry|জন টেরি
Danny Rose|ড্যানি রোজ
Sher Shah Suri|শের শাহ সুরি
Khushal Khan Khattak|খুশল খান খাট্টাক
Jürgen Ehlers|ইয়ুর্গন এলারস
Eva May|ইভা মে
Luca Pacioli|লুকা প্যাসিওলি
Robert Döpel|রবার্ট ডোপেল
Butler Lampson|বাটলার ল্যাম্পসন
Steve Furber|স্টিভ ফারবার
William Kahan|উইলিয়াম মর্টন কাহান
Eric Bina|এরিক বিনা
Lawrence Roberts|লরেন্স রবার্টস
Bob Frankston|বব ফ্রাংকস্টোন
Hilary Swank|হিলারি সোয়াঙ্ক
Friedrich Adler|ফ্রিদরিখ আদলের
Chaman Lal Chaman|চমনলাল চমন
Kikuchi Taketoki|কিকুচি তাকেতোকি
Norma Shearer|নর্মা শিয়েরার
Warren Beatty|ওয়ারেন বেটি
Paulette Goddard|পলেট গডার্ড
Andrew Flintoff|অ্যান্ড্রু ফ্লিনটফ
Murad I|প্রথম মুরাদ
Zhao Ziyang|চাও সি ইয়াং
Larry Hagman|ল্যারি হাগমেন
Heidi Roth|হেইডি রথ
