John Cusack|जोन कुसाक
Richard F. Heck|रिचर्ड एफ हेक
Mary Harris Jones|म्यारी ह्यारिस जोन्स
Gregory Peck|ग्रेगरी पेक
Thomas A. Steitz|थोमस ए स्टेइट्ज
Howard Zinn|होवार्ड जिन्न
Krishnadevaraya|कृष्णदेवराय
Charles II of England|बेलायतका चार्ल्स द्वितीय
Alfred Werner|अल्फ्रेड वेर्नर
Nicolaus II Bernoulli|निकोलस बर्नोली द्वितीय
Toni Hagen|टोनी हागन
Frank Zappa|फ्रान्क जाप्पा
Mackenzie Bowell|म्याकेन्जी बोवेल
Edward Heath|एडवार्ड हिथ
François Rabelais|फ्रान्सेस राबेलाइस
Zulfiqar Ali Bhutto|जुल्फिकर अलि भुट्टो
Sania Mirza|सानिया मिर्जा
Susan Sarandon|सुसन सारान्डन
Sylvia Plath|सिल्भिया प्लाथ
Nawaz Sharif|नवाज सरिफ
Erik Axel Karlfeldt|एरिक एक्सेल कार्लफेड्ट
Park Geun-hye|पार्क गेयुन हेई
Mahasweta Devi|महाश्वेता देवी
Ardeshir Cowasjee|आर्देसिर कोवास्जी
Edgar Rice Burroughs|एड्गर राइस बरोफ्स
Gong Li|गोङ ली
Richard Owen|रिचर्ड ओवेन
Axel Witsel|एक्सेल विसेल
Martin Niemöller|मार्टिन निमोलर
Léopold Sédar Senghor|लियोपोल्ड सेडर सेन्घोर
Levon Aronian|लेभोन अरोनियन
Louis Néel|लुइस निल
Charles Lucien Bonaparte|चसर्ल्स लुसियन बोनापार्ट
Kirron Kher|किरण खेर
Aruna Irani|अरुना इरानी
Manoj Bajpai|मनोज बाजपेयी
Khufu|खुफु
Philip Kotler|फिलिप कोट्लर
Javier Hernández|ज्याभिअर हर्नाण्डेज
Iajuddin Ahmed|इयाजउद्दिन आहम्मेद
Usher|अस्सर(गायक)
Mary Carey|म्यारी केरी
Robert Frost|रोबर्ट फ्रस्ट
Omar Sharif|ओमार सरिफ
Philip K. Dick|अ सर्फेस राइड
Ivan III of Russia|रसियाका इभान तेस्रो
Bāṇabhaṭṭa|बाणभट्ट
Dani Alves|ड्यानियल एल्वस
Pyotr Kapitsa|प्योट्र कापिट्सा
Giovanni van Bronckhorst|जियोभानी भान ब्रोन्कहर्स्ट
Jean Tirole|जेन तिरोल
Katie Holmes|केटी होम्स
Mikhail Botvinnik|मिखाइल बोट्भिन्निक
Harold Urey|ह्यारोड युरे
Frank Gehry|फ्र्याङ्क गेरी
Helen Clark|हेलेन क्लार्क
Alexis Sánchez|एलेक्सिस सान्चेस
Nicolas Carnot|सादी कार्नोट
Nicolás Otamendi|निकोलस ओतामेन्दी
Ramakrishna|रामकृष्ण परमहंस
Claude Makélélé|क्लाउडे माकेलेले
Joe Cole|जो कोल (फुटबल खेलाडी)
Pitbull|पिटबुल
Frits Zernike|फ्रिट्स जर्निक
Danny Welbeck|ड्यान्नी वेल्वेक
Preity Zinta|प्रीति जिटां
Aristippus|एरिस्टिप्पस
Ivan Goncharov|इभान गोनचारोभ
Ayub Khan|आयुब खान
Rachel McAdams|राचेल म्याकअडाम्स
Famke Janssen|फाम्की जेन्सेन
Edward Sapir|एडवार्ड सापिर
Peter Ware Higgs|पिटर हिग्स
Kai Siegbahn|काइ सिगबाह्न
Richard Branson|रिचर्ड ब्रान्सन
Jennifer Morrison|जेनिफर मोरिसन
Tom Welling|टम वेलिङ
Roger Y. Tsien|रोजर वाइ ट्सिएन
Andimuthu Raja|ए राजा
Keisuke Honda|केइसुके होन्डा
Dido|डिडो
Lakshman Kadirgamar|लक्ष्मण कादिर्गमर
Chandrika Kumaratunga|चन्द्रिका कुमारातुंगा
Amir Khosrow|अमीर ख़ुसरो
Xabi Alonso|जावी अलोन्सो
Wilkie Collins|विल्कि कलिन्स
Igor Sikorsky|इगोर सिकोर्स्की
Hariprasad Chaurasia|हरी प्रसाद चौरसिया
Darren Bent|डेरेन बेन्ट
Jordin Sparks|जोर्डन स्पार्क्स
