Alia Bhatt|আলিয়া ভাট
Ananta Kandali|অনন্ত কন্দলী
Angaraag Mahanta|অংগৰাগ মহন্ত
Arjun|অৰ্জুন (ফিৰোজ খান)
Aruni Kashyap|আৰুণি কাশ্যপ
Ashwini Bhide-Deshpande|অশ্বিনী ভিড়ে-দেশপাণ্ডে
Banwarilal Purohit|বানৱাৰীলাল পুৰোহিত
Bhimbor Deori|ভীমবৰ দেউৰী
Bineshwar Brahma|বিনেশ্বৰ ব্ৰহ্ম
Bornali Kalita|বর্ণালী কলিতা
Carina Andersson|Carina Andersson
Damayanti Joshi|দময়ন্তী যোশী
Damodara Deva|দামোদৰ দেৱ
Edward Albert Gait|এডৱাৰ্ড এলবাৰ্ট গেইট
Ghulam Mustafa Khan|গোলাম মুস্তাফা খান
Herbert Kleber|হাৰ্বাট ক্লেবাৰ
Rita Chowdhury|ৰীতা চৌধুৰী
Hira Devi Waiba|হিৰা দেৱী ৱাইবা
Ram Vilas Paswan|ৰাম বিলাস পাছৱান
Kamal Kumari Barooah|কমল কুমাৰী বৰুৱা
Kamlesh Mehta|কমলেশ মেহতা
Laxmi Narayan Tripathi|লক্ষ্মী নাৰায়ণ ত্ৰিপাঠী
M. K. Binodini Devi|মহাৰাজ কুমাৰী বিনোদিনী দেৱী
Sasha Banks|ছাশ্বা বেঙ্কস
Monalisa Baruah Mehta|মনালিচা বৰুৱা মেহতা
Nidhi Razdan|নিধি ৰাজদান
Nilmani Phookan (Junior)|নীলমণি ফুকন (কনিষ্ঠ)
Paoli Dam|পাওলি দাম
Prastuti Parashar|প্ৰস্তুতি পৰাশৰ
Rani Gaidinlu|ৰাণী গাইডিনলিউ
Rasoolan Bai|ৰচুলন বাঈ
Rekha Bhardwaj|ৰেখা ভৰদ্বাজ
Renu Saikia|ৰেণু শইকীয়া
Roshni Nadar|ৰোশনী নাদাৰ
Yamini Krishnamurthy|যামিনী কৃষ্ণমূৰ্তি
Sachindra Lal Singh|সচীন্দ্ৰ লাল সিং
Samir Ranjan Barman|সমীৰ ৰঞ্জন বৰ্মন
Saurabh Kumar Chaliha|সৌৰভ কুমাৰ চলিহা
Seema Rao|সীমা ৰাও
Smitha Madhav|স্মিতা মাধৱ
Sonal Mansingh|সোণাল মানসিং
Sudhin Dasgupta|সুধীন দাশগুপ্ত
Suhenphaa|চুহেনফা
Sukhrangpha|চুখ্ৰাম্‌ফা
Supaatphaa|গদাধৰ সিংহ
Suramphaa|চুৰাম্‌ফা
Swargajyoti Barooah|স্বৰ্গজ্যোতি বৰুৱা
Syed Abdul Malik|চৈয়দ আব্দুল মালিক
Biju Phukan|বিজু ফুকন
Ananda Chandra Barua|আনন্দ চন্দ্ৰ বৰুৱা
Ananda Ram Baruah|আনন্দৰাম বৰুৱা
Arundhati Bhattacharya|অৰুন্ধতী ভট্টাচাৰ্য্য
Urkhao Gwra Brahma|উৰ্খাউ গৌড়া ব্ৰহ্ম
Renee M. Borges|ৰেণী বৰ্গিজ
Rajeshwari Chatterjee|ৰাজেশ্বৰী চেটাৰ্জী
Sharad Arvind Bobde|শৰদ অৰবিন্দ ববডে
Nadong Bhutia|নাদং ভুতিয়া
André Preto|আণ্ড্ৰে' প্ৰেট'
Maganlal Gandhi|মগনলাল গান্ধী
Sulikphaa|চুলিক্‌ফা
Maiken Fruergaard|Maiken Sørensen
Chandra Prasad Saikia|চন্দ্ৰপ্ৰসাদ শ‍ইকীয়া
Gambhari Devi|গম্ভৰী দেৱী
Baharul Islam|বাহাৰুল ইছলাম
Mridula Baruah|মৃদুলা বৰুৱা
Syed Akbaruddin|চৈয়দ আকবৰুদ্দিন
H. C. Verma|হৰিশ চন্দ্ৰ বাৰ্মা
|সীতানাথ ব্ৰহ্মচৌধুৰী
Seema Nanda|সীমা নন্দা
Ushadevi Bhosle|ঊষাদেৱী ভোছলে
Villy Aellen|Villy Aellen
Shagufta Jumani|সাগুফতা জুমানি
Sayyeshaa|সায়েশা সৈগল
Rupamanjari Ghosh|ৰূপামঞ্জৰী ঘোষ
Roman Saini|ৰ'মান চেইনী
|অষ্টভুজ মহন্ত
|প্ৰমোদ বৰুৱা
Samarendra Narayan Dev|সমৰেন্দ্ৰ নাৰায়ন দেৱ
László Ocskó|László Ocskó
Jagmohan Kaur|জগমোহন কৌৰ
Ganga Devi|গংগা দেৱী (চিত্ৰশিল্পী)
Silverine Swer|ছিলভাৰিন স্বেৰ
Chaitanya Tamhane|চৈতন্য টামহানে
Rabindra Nath Upadhyay|ৰবীন্দ্ৰনাথ উপাধ্যায়
|ইন্দিৰা মিৰি
Rohit Khandelwal|ৰোহিত খান্দেলৱাল
Saalumarada Thimmakka|শালুমাৰাদা থিম্মাক্কা
Dicky Dolma|ডিকি ডলমা
Sheela Borthakur|শীলা বৰঠাকুৰ
Baharul Islam|বাহাৰুল ইছলাম
Jones Mahalia|জন্‌ছ মহলীয়া
Shashikala Dani|শশীকলা দানী
Angoorlata Deka|আঙুৰলতা ডেকা
Pramila Rani Brahma|প্ৰমিলা ৰাণী ব্ৰহ্ম
Mahua Moitra|মহুৱা মৈত্ৰা
Manika Batra|মণিকা বাত্ৰা
Narayana Dev|নাৰায়ণদেৱ
|লীলা গগৈ
|অভিজিত বৰুৱা
|খগেন্দ্ৰনাথ নাথ
|ধৰ্মেশ্বৰী দেৱী বৰুৱানী
Jyoti Prakash Das|জ্যোতি প্ৰকাশ দাস
|সাৰদা বেজবৰুৱা
Mrinal Kanti Das|মৃণাল কান্তি দাস
Diganta Hazarika|দিগন্ত হাজৰিকা
Marc-Antoine Desaymoz|Marc Antoine Desaymoz
Grant Walker|Grant Walker
Edward Ward|Eddie Ward
Melih Turgut|Melih Turgut
Tiffany Ho|Tiffany Celine Ho
Kang Chan-hee|Kang Ga-ae
Jan Mendel|Jan Mendel
Rudolf Ogrodzki|Rudolf Ogrodzki
Zdzisław Karwat|Zdzisław Karwat
Łucja Porządnicka|Łucja Porządnicka
Grzegorz Grzybowski|Grzegorz Grzybowski
Lucjan Gibas|Lucjan Gibas
Elżbieta Kuczkowska|Elżbieta Kuczkowska
Karolina Piątek|Karolina Piątek
Małgorzata Kowina|Małgorzata Kowina
Katarzyna Kaczmar|Katarzyna Kaczmar
Joanna Bednarska|Joanna Bednarska
Zbigniew Śmilgin|Zbigniew Śmilgin
Grzegorz Świerczyna|Grzegorz Świerczyna
