Tryambak Shankar Shejwalkar|ತ್ರಯಂಬಕ್ ಶಂಕರ್ ಶೆಜ್ವಾಲ್ಕರ್
Govind Sakharam Sardesai|ಗೋವಿಂದ ಸಖಾರಾಮ್ ಸರ್‍ದೇಸಾಯಿ
Pandurang Sadashiv Sane|ಪಾಂಡುರಂಗ್ ಸದಾಶಿವ್ ಸನೆ
Ernst Chain|ಎರ್ನ್‌ಸ್ಟ್ ಬೋರಿಸ್ ಚೈನ್
Milarepa|ಮಿಲರೇಪ
Max Born|ಮ್ಯಾಕ್ಸ್ ಬಾರ್ನ್
Alena Leonova|ಅಲೆನ  ಲೆಒನೊವಾ
George Gamow|ಜಾರ್ಜ್ ಗೇಮೋವ್
Amalie Auguste of Bavaria|ಅಮಲಿಯೇ  ಆಗಸ್ಟೆ  ಒಫ್  ಬವೇರಿಯಾ
Eugen Goldstein|ಗೋಲ್ಡ್‌ಸ್ಟೈನ್, ಯೂಜೆನ್
Genelia D'Souza|ಜೆನಿಲಿಯಾ ಡಿಸೋಜ
Alexandra Maria Lara|ಅಲೆಕ್ಸಾಂಡ್ರಾ  ಮಾರಿಯಾ  ಲಾರಾ
Shripad Narayan Pendse|ಶ್ರೀಪಾದ್ ನಾರಾಯಣ್ ಪೆಂಡ್ಸೆ
Ajmal Kasab|ಅಜ್ಮಲ್ ಕಸಬ್
Carl Wilhelm Scheele|ಕಾರ್ಲ್ ವಿಲ್ಹೆಮ್ ಶೀಲೆ
Adelheid Schulz|ಅವೆಲ್ಹ್ಯಾಯ್ಡ್ ಸ್ಕಿಹುಲ್ಜ್
Emil Adolf von Behring|ಎಮಿಲ್ ಅಡಾಲ್ಫ್ ವಾನ್ ಬೆಹ್ರಿಂಗ್
Paul Heyse|ಪಾಲ್ ಯೊಹಾನ್ ಲುಡ್ವಿಗ್ ವಾನ್ ಹೇಯ್ಸ್
Richard Avenarius|ಅವೆನೇರಿಯಸ್ ರಿಚರ್ಡ್ ಹೆನ್ರಿಕ್ ಲಡ್ವಿಗ್
Adolph Wilhelm Hermann Kolbe|ಅಡಾಲ್ಫ್ ವಿಲ್‌ಹೆಲ್ಮ್ ಹೆರ್ಮನ್ ಕೊಲ್ಬೆ
Karl Gutzkow|ಗುಟ್ಸ್‌ಕೊ, ಕಾರ್ಲ್ ಫರ್ಡಿನಾಂಡ್
Richard Abegg|ರಿಚರ್ಡ್ ಅಬೆಗ್
Angelique Kerber|ಏಂಜಲಿಕ್‌ ಕರ್ಬರ್
John Milton|ಜಾನ್ ಮಿಲ್ಟನ್
Tenzing Norgay|ತೇನ್‌ಸಿಂಗ್ ನೋರ್ಗೆ
Charlton Heston|ಚಾರ್ಲ್‍ಟನ್ ಹೆಸ್ಟನ್
Pierce Brosnan|ಪಿಯರ್ಸ್ ಬ್ರಾನ್ಸನ್
Anaxagoras|ಅನ್ಯಾಕ್ಸಗೊರಾಸ್
Jacinto Benavente|ಹಾಥೀಂಟಾ ಬೆನಾವೆಂಟೀ ಮಾರ್ಟೀನೆಸ್
Sher Shah Suri|ಶೇರ್ ಷಾ
Alice Orlowski|ಆಲಿಸ್ ಒರಲೌಸ್ಕಿ
Andrea Clausen|ಆಂಡ್ರಿಯಾ  ಕ್ಲಾಉಸೇನ್
Almut Eggert|ಅಲ್ಮುಟ್  ಎಗ್ಗೆರ್ಟ್
Agneta Willeken|ಅಗ್ನೇಟ  ವಿಳ್ಳೆಕೇನ್
Pär Lagerkvist|ಪಾರ್ ಲಾಗೆರ್‍ಕ್ವಿಸ್ಟ್
Andrew Flintoff|ಆಂಡ್ರ್ಯೂ ಫ್ಲಿಂಟಾಫ್
Alexandra Thein|ಅಲೆಕ್ಸಾಂಡ್ರಾ  ಥೆಲಿನ್
Amelie Beese|ಅಮೆಲಿಯೇ  ಬೀಸೆ
Hartmut Esslinger|ಹಾರ್ಟ್ಮಟ್ ಎಸ್ಸ್ಲಿಂಜರ್
Marco Kloss|ಮಾರ್ಕೊ ಕ್ಲೋಸ್
Alisha Ossowski|ಅಲಿಷಾ  ಒಸ್ಸೌಸ್ಕಿ
Charlie Sheen|ಚಾರ್ಲಿ ಶೀನ್
Alexa Maria Surholt|ಅಲೆಕ್ಸಾ  ಮಾರಿಯಾ  ಸುರಹೊಲ್ತ
Aennchen Schumacher|ಅಇನ್ನ್ಯಾಚೆಂ ಸಚುಮ್ಚೆರ್
Ei-ichi Negishi|ಎ-ಇಚಿ ನೆಗಿಶಿ
Richard F. Heck|ರಿಚರ್ಡ್ ಎಫ್. ಹೆಕ್
Mirza Ghalib|ಮಿರ್ಜಾ ಗಾಲಿಬ್
Christiaan Eijkman|ಕ್ರಿಶ್ಚಿಯಾನ್ ಐಕ್ಮನ್
Alina Levshin|ಅಲ್ಲಿನ  ಲೆವಿಶಿಂ
Gregory Peck|ಗ್ರೆಗೊರಿ ಪೆಕ್
Agnieszka Brugger|ಅಗ್ನಿಸ್ಜ್ಕ  ಬೃಗ್ಗೆರ್
Alexandra Shaw|ಅಲೆಕ್ಸಾಂಡ್ರಾ  ಷಾ
Amanda Ammann|ಅಮಂದ  ಅಮ್ಮನ್ನ
Amalie Halter-Zollinger|ಅಮಲಿಯೇ  ಹಳ್ತ್ರ್-ಝೋಲ್ಲಿಂಗೇರ್
Anne of Great Britain|ಆನ್
Sailen Manna|ಸೈಲೇ೦ದ್ರ ನಾಥ್ ಮನ್ನ
Alexandra Simons de Ridder|ಅಲೆಕ್ಸಾಂಡ್ರಾ  ಸಿಮೊನ್ಸ್  ಡಿ  ರಿದ್ದೆರ್
Andrea Jansen|ಆಂಡ್ರಿಯಾ  ಜಾನ್ಸೆನ್
Krishnadevaraya|ಕೃಷ್ಣದೇವರಾಯ
Alfred Werner|ಆಲ್ಪ್ರೆಡ್ ವೆರ್ನೆರ್
Gloria Macapagal-Arroyo|ಗ್ಲೋರಿಯ ಮಾಕಪಾಗಲ್-ಅರ್ರೋಯೊ
Alice Ekert-Rotholz|ಆಲಿಸ್  ಎಕೆರ್ಟ್-ರೊಥೋಲ್ಜ್
