Rohini Devi|रोहिणी
Rik Janssen|रिक् जन्सेन् दच्च राजकारिणः वार्तिकः च आसीत्
Tom Holland|टॉम हॉलेंड
P. Susheela|पि. सुशीला
Manoj Kumar|मनोजकुमारः
Vallabha Acharya|वल्लभाचार्यः
Bhavyaviveka|Bhavyaviveka
Mukesh|मुकेशः
Sangamitta|सङ्गमित्रा
Baji Rao I|बाजीराव
John Coape Sherbrooke|जोह्न् कोपे षेर्ब्रोओके
Bharatendu Harishchandra|भारतेन्दु हरिश्चन्द्र
Śuka|शुकमुनिः
Ashtavakra|अष्टावक्रः
Hemachandra|हेमचन्द्रः
Narsinh Mehta|नरसिंहमहेता
Kalapi|कलापी
Sambhaji Bhosale|सम्भाजी
Domingo Ram y Lanaja|दोमिङ्गो  राम  य  लनज
Tribhuvandas Kishibhai Patel|त्रिभुवनदास् पटेल्
Deepakbhai P. Mehta|दीपकभाई प्र महेता
M. Balamuralikrishna|बालमुरलीकृष्णः
Bodhisena|बोधिसेन
Karim Findi|करीम फेंडी
Somadeva|सोमदेवः
Danny Cuomo|देन्नि कुओमो
Danny Dhondt|देन्नि धोन्ड्ट्
Debendranath Tagore|देवेन्द्रनाथ ठाकुरः
Paresh Rawal|परेश रावल
Shivraj Singh Chauhan|शिवराज सिंह चौहान
Kshemaraja|क्षेमराज
Ashok Chavan|अशोक चव्हाण
Nārāyaṇa Bhaṭṭa|भट्ट्नारायणः
Benegal Rama Rau|बेनगल् रामरावः
Nagarjun|नागार्जुनः
Saroj Khan|सरोज खान
Soundarya|सौन्दर्या
Nitin Gadkari|नितीनगडकरी
Arun Shourie|अरुण शौरी
Sucheta Kripalani|सुचेता कृपलाणी
Mohan Bhagwat|मोहनरावभागवत
Mirabehn|मेडलीन स्लेड
Irawati Karve|इरावती कर्वे
Dattopant Thengadi|दत्तोपन्त ठेङ्गड़ी
Sri Lal Sukla|श्रीलाल शुक्ल
Balaji Baji Rao|बाजीराव
Krishna Sobti|कृष्णा सोबती
Rajeev Srinivasan|राजीव श्रीनिवासन्
Kapila Vatsyayan|कपिला वात्स्यायनः
Kalyan Singh|कल्याणसिंह
Elene Akhvlediani|एलिन् अख्वेलेदानी
Malik Ayaz|मलिक  आयश्
Kshemendra|क्षेमेन्द्रः
|बुद्धगुप्तनाथ
Ravindra Prabhat|रवीन्द्रप्रभातः
Mukunda Goswami|मुकुन्द गोस्वामी
Ebrahim Alkazi|इब्रहिम् अल्काज़्ई
Abhijit Mukherjee|अभिजीत मुखर्जी
Akhandanand|स्वामी अखण्डानन्द सरस्वती
Alia Bhatt|आलिया भट्ट
B. Sriramulu|बी॰ श्रीरामुलु
Badarayana|बादरायणः
Bishnu Pada Ray|विष्णु पद राय
Chandrakant Raghunath Patil|सी आर पाटिल
Chinna Jeeyar Swamy|चिन्नजीयरः स्वामी
Narasimhagupta|नरसिंहगुप्तः बालादित्यः
Deepika Chikhalia|दीपिका चिखलिया
Dewang Mehta|देवांग मेहता
Bhatt Mathuranath Shastri|भट्ट मथुरानाथशास्त्री
Gubbi Veeranna|गुब्बिवीरण्णः
Har Dayal|लाला हरदयालः
Ram Vilas Paswan|रामविलास पासवान
Maha Sawa|महासवा
Rudravarman I|रुद्रवर्मन् १
Jayshreeben Patel|पटेल जयश्रीबेन कनुभाई
Jitendra Singh|जितेन्द्र सिंह
K. Kavitha|कलवाकुन्ट्ल कविता
K. N. Ramchandran|के॰एन॰ तिरु रामचन्द्रन
Kamla Devi Patle|कमला देवी पटले
Keshav Das|keshav das
Kristappa Nimmala|क्रिस्टप्पा निम्मला
Cūḍa-panthaka|Cūḍapanthaka
M. Thambi Durai|एम॰ तंबीदुरै
Madhu Sapre|मधु सप्रे
Mahīdhara|महीधरः
Mohan Kundariya|मोहन कुन्दरिया
Mugdha Godse|मुग्धा गोडसे
Narendra Singh Tomar|नरेन्द्र सिंह तोमर
Om Prakash|ओम प्रकाश
Ponnusamy Venugopal|पी॰ वेणुगोपाल
Panangkaran|पनङ्गकरण
Pappu Yadav|पप्पू यादव
Pashupati Nath Singh|पशुपतिनाथ सिंह
Raghunath Anant Mashelkar|रघुनाथ अनंत माशेलकर
Rangasami L. Kashyap|रङ्गस्वामी कश्यपः
Yamini Krishnamurthy|यामिनी कृष्णमूर्तिः
Sanjay Shamrao Dhotre|संजय शामराव धोत्रे
Sarala Devi Chaudhurani|सरलादेवी चौधरी
Sona Ram|कर्नल सोनाराम
Sudarshan Bhagat|सुदर्शन भगत
Tathagata Satapathy|तथागत सत्पथी
Thangso Baite|थांगसो बाइते
Thokchom Meinya|डॉ. थोकचोम मेइन्या
Udit Raj|उदित राज
Usman Harooni|उस्मान हारूनी
Venkatamakhin|वेङ्कटमखी
Viswanatha Kaviraja|विश्वनाथः
S. V. Ranganna|एस्.वी.रङ्गण्णः
K. N. Ezhuthachan|के।एन्।एषुत्तच्छन
|Uruvela-Kassapa
Gayaa-Kassapa|Gayaa-Kassapa
|हरिवर्मन्
Jaya Sinhavarman II|जयसिंहवर्मन् २
|डेविड १
P. C. Mohan|पी. सी. मोहन
