Matsyendranath|મત્સ્યેન્દ્રનાથ
Yajnavalkya|યાજ્ઞવલ્કય
Sharad Malhotra|शरद मल्होत्रा
Vijaypat Singhania|વિજયપત સિંઘાનિયા
Ashfaqulla Khan|અશફાકઉલ્લા ખાન
Rohini Hattangadi|રોહિણી હટ્ટગદી
Vidhu Vinod Chopra|વિધુ વિનોદ ચોપરા
John Patrick O'Brien|જોન પી. ઓ'બ્રાયન
Ajay Pohankar|અજય પોહંકર
Sukumar Azhikode|સુકુમાર અઝીકોડે
Sugriva|સુગ્રીવ
Rohini Devi|રોહિણી
Raageshwari|રાગેશ્વરી
Megha|મેઘ
Sadhana Sargam|સાધના સરગમ
P. Susheela|પી. સુશીલા
Shweta Mohan|શ્વેતા મોહન
Mamta Mohandas|મમતા મોહનદાસ
Mohanlal|મોહનલાલ વિશ્વનથન નાયર
Biju Narayanan|બીજૂ નારાયણન
Suresh Peters|સુરેશ પેટર્સ
Anna Katharina Valayil|અન્ના કૈથરીના વલાઈલ
Nallari Kiran Kumar Reddy|નલ્લારી કિરણ કુમાર રેડ્ડી
Seth Low|સેઠ લો
Manoj Kumar|મનોજ કુમાર
Vallabha Acharya|વલ્લભાચાર્ય
Mukesh|મુકેશ
Nizam-ud-din Auliya|નિઝામુદ્દીન ઔલિયા
Tillotama Shome|ટિલોટામા શોમ
Tulsi Lahiri|તુલસી લાહિરી
Madhur Jaffrey|મધુર જાફરી
Santosh Sivan|સંતોષ સિવાન
Jhulelal|ઝૂલેલાલ
Anshuman Gaekwad|અંશુમાન ગાયકવાડ
Sandeep Patil|સંદિપ પાટિલ
Pannalal Patel|પન્નાલાલ પટેલ
Agnivesa|અગ્નિવેશ
Birsa Munda|બિરસા મુંડા
Atul Bedade|અતુલ બેદાડે
Ashok Patel|અશોક કુરજીભાઇ પટેલ
Anwarmiya Kaji|અનવરમિંયા કાજી
Anila Dalal|અનિલા દલાલ
Pandurang Shastri Athavale|પાંડુરંગ શાસ્ત્રી આઠવલે
Pranav Mistry|પ્રણવ મિસ્ત્રી
Ashwini Bhatt|અશ્વિની ભટ્ટ
Ashtavakra|અષ્ટાવક્ર
Hemachandra|હેમચંદ્રાચાર્ય
Narsinh Mehta|નરસિંહ મહેતા
Yuvraj Singh|સોલંકી યુવરાજસિંહ
Parthiv Patel|પાર્થિવ પટેલ
Falguni Pathak|ફાલ્ગુની પાઠક
Ichharam Desai|ઇચ્છારામ દેસાઈ
Hemant Chauhan|હેમંત ચૌહાણ
Kalapi|કલાપી
Kanhoji Angre|કાન્હોજી આંગ્રે
Krishnalal Shridharani|કૃષ્ણલાલ શ્રીધરાણી
Kekhusro Kabraji|કેખુશરો કાબરાજી
Gunvantrai Acharya|ગુણવંતરાય આચાર્ય
Chandrakant Mehta|ચંદ્રકાન્ત મહેતા
Chinu Modi|ચિનુ મોદી
Jayant Gadit|જયંત ગાડીત
Joseph Macwan|જોસેફ મેકવાન
|ડોંગરેજી મહારાજ
Dolarrai Mankad|ડોલરરાય માંકડ
|તુકારામ
Tribhuvandas Kishibhai Patel|ત્રિભુવનભાઇ કીશીભાઇ પટેલ
Deepakbhai P. Mehta|દીપકભાઇ પ્ર. મેહતા
Dhananjay Shah|ધનંજય શાહ
Dhirendra Mehta|ધીરેન્દ્ર મહેતા
|પીઠો ભગત
Pujalal Dalwadi|પૂજાલાલ દલવાડી
Pravin Darji|પ્રવીણ દરજી
Bajrangdas Bapa|બજરંગદાસબાપા
Manjari Desai|મંજરી દેસાઈ
Manilal H. Patel|મણિલાલ હ. પટેલ
Mansukhlal Jhaveri|મનસુખલાલ ઝવેરી
Krishnakumarasinh Bhavasinh Gohil|કૃષ્ણકુમારસિંહ ભાવસિંહ ગોહીલ
Mohanlal Dave|મોહનલાલ દવે
Raman Soni|રમણ સોની
Rajendra Shukla|રાજેન્દ્ર શુક્લ
|રૂસવા
|શહીદ વીર મેઘમાયો
|શિવકુમાર જોષી
Shripad Raghunath Joshi|શ્રીપાદ રઘુનાથ જોશી
|સર પ્રભાશંકર પટ્ટણી
Saif Palanpuri|સૈફ પાલનપુરી
Jhinabhai Desai|સ્નેહરશ્મિ
Hamirji Gohel|હમીરજી ગોહિલ
Harshadray Manibhai Trivedi|હર્ષદરાય ત્રિવેદી
Hemu Gadhavi|હેમુ ગઢવી
Anil Devgan|અનિલ દેવગણ
Carl Frederik von Breda|james watt
Ashok Dinda|અશોક ડિન્ડા
Justin Trudeau|જસ્ટિન ટ્રુડો
Paresh Rawal|પરેશ રાવલ
Sadhana Shivdasani|સાધના શિવદાસાની
Anisul Hoque|અનીસુલ હૉક્યુ
Nivedita Bhasin|નિવેદિતા ભસીન
Ashok Chavan|અશોક ચવ્હાણ
Shakti Chattopadhyay|શક્તિ ચટોપાધ્યાય
Achintya Kumar Sengupta|અચિંત્યકુમાર સેનગુપ્તા
Basudeb Dasgupta|બાસુદેબ દાસગુપ્તા
Rabindra Guha|રવીન્દ્ર ગુહા
Uday Shankar|ઉદય શંકર
Nagarjun|નાગાર્જુન
Saroj Khan|સરોજ ખાન
Nitin Gadkari|નિતિન ગડકરી
Rambha|રંભા
Praveen Kumar|પ્રવિણ કુમાર
S. Sreesanth|એસ.શ્રીસંત
Nana Joshi|નાના જોશી
Balu Mahendra|બાલુ મહેન્દ્ર
Sucheta Kripalani|સુચેતા કૃપલાની
Narendra Hirwani|નરેન્દ્ર હિરવાણી
Mirabehn|મીરાબેન
Saritha|સરિતા
Kakkanadan|કક્કનદાન
Sukumari|સુકુમારી
Nadhiya|નઢીયા
Tripuraneni Gopichand|ત્રિપુરાણેનિ ગોપીચંદ
Tshering Wangdu|તશેરિંગ વાંગડુ
Rakhi Sawant|રાખી સાવન્ત
Jiah Khan|જીયા ખાન
Irawati Karve|ઇરાવતી કર્વે
Saranya Mohan|સરણ્યા મોહન
Preeti Jhangiani|પ્રીતિ જહાંગિયાની
Vinaya Prasad|વિન્યા પ્રસાદ
Jamini Roy|જામીની રોય
Sri Lal Sukla|શ્રી લાલ સુકલા
Ali Sardar Jafri|અલી સરદાર જાફરી
Gopinath Kaviraj|ગોપીનાથ કવિરાજ
Kesarbai Kerkar|કેસરબાઈ કેરકર
Malika Pukhraj|મલિકા પુખરાજ
Krishna Sobti|કૃષ્ણા સોબતી
Satyadev Dubey|સત્યદેવ દુબે
Mogubai Kurdikar|મોગુબાઈ કુર્દીકર
Rajeev Srinivasan|રાજીવ શ્રીનિવાસન
Kapila Vatsyayan|કપિલા વાત્સ્યાયન
Nagaraja Rao Havaldar|નાગરાજા રાવ હવાલદાર
Dadu Dayal|દાદુ દયાલ
Shamshad Hussain|શમશાદ હુસૈન
Barkha Dutt|બરખા દત્ત
Santokh Singh Dhir|સંતોક સિંહ ધીર
Hasrat Mohani|હસરત મોહાની
Srinivasa Rao Srirangam|શ્રીનિવાસ રાવ શ્રીરંગમ
M. M. Keeravani|એમ. એમ. કીરવાની.
Srikanto Acharya|શ્રીકાંત આચાર્ય
Hard Kaur|હાર્ડ કૌર
Deepali Joshi-Shah|દીપાલી જોશી-શાહ
Godabarish Mishra|ગોદાવરિશ મિશ્ર
Ravindra Prabhat|રવીન્દ્ર પ્રભાત
Drashti Dhami|દ્રષ્ટિ ધામી
Santanu Kumar Acharya|શાંતનુકુમાર આચાર્ય
Guillermo Lasso|ગિલ્લેર્મો લાસો
Max Einhorn|મેક્સ આઈનહોર્ન
A. Colin McClung|એ. કોલિન મCક્લંગ
A. Maria Irudayam|એ. મારિયા ઇરૂદાયમ
