Nicolaus Copernicus|ڪوپرنيڪس
|آدم خان رند
|آصف مٺياڻوي
|آغا تاج محمد خان
|آغا تيمور خان پٺاڻ
|آغا عبدالحميد خان
|ابراهيم بلوچ
Najmuddin Abou|نجم الدين ابڙو
|ابن ھشام
|ابو نصر بن عبدالله سنڌي
|احسان دانش ڀٽو
|احمد خان گلزار
|احمد خان سھاڳ
|احمد متقي
|استاد امير خان
|استاد پيارو خان
Ishaq Samejo|اسحاق سميجو
|اسد چاچڙ
|اسد قريشي
|اسماعيل اداسي
|امام اوزاعي سنڌي
|امام بخش عاصم
|امام بخش شر
|وليم جوزف ايسٽ وڪ
|امير بخش امير قريشي
|انور علي شاھ
|صوفي باقر شاھ
|بانو محبوب
|انور وسطڙو
Aditi Bhatia|اديتي ڀاٽيا
Abul Hassan Sagheer Sindhi|مخدوم ابو الحسن ٺٽوي
Hugh Trevor Lambrick|ايڇ. ٽي. لئمبرڪ
Manuel Martínez Chumillas|Manuel Martínez Chumillas
Ángel Cadarso del Pueyo|Ángel Cadarso del Pueyo
Masood Ahmed Barkati|مسعود احمد برڪاتي
Syed Ghulam Shah Jillani|غلام شاهه جيلاني
Naseer Ahmad|ميان نصير محمد ڪلھوڙو
Naseem|نسيم راڄپر
Jethi Sipahimalani|ڄيٺي سپاھيملاڻي
Orso Orsini|Orso Orsini
Sabit Ali Shah|سيد ثابت علي شاھ
Fanny Vaucher|Fanny Vaucher
Khan Bahadur Muhammad Siddique Memon|محمد صديق ميمڻ
Helin Bölek|هيلن بوليڪ
Kate Sayer|Kate Sayer
Anna Kulikova|Anna Kulikova
Jean-Pierre Lloyd|Jean-Pierre Lloyd
Areke Hassink|Areke Hassink
Paula Fedirchuk|Paula Fedirchuk
Claudia Migliorini|Claudia Migliorini
Sylvia Debboudt|Sylvia Debboudt
Miranda De Permentier|Miranda De Permentier
Aurélie Anaise|Aurélie Anaise
Gulnara Fatkullina|Gulnara Fatkullina
Mirza Nikolajev|Mirza Nikolajev
Elīna Ieva Vītola|Elīna Ieva Vītola
Kyle Murray|Kyle Murray
Stefan Kiefer|Stefan Kiefer
Galileo Galilei|گليليئو گليليئي
Socrates|سقراط
Madonna|ميڊونا
Homer|هومر
Ibn Battuta|ابن بطوطه
Akbar|جلال الدين اڪبر
John McCain|جان مڪين
Serena Williams|سرينہ وليمز
Herodotos|هيرودوت
Averroes|ابن رشد
Julia Roberts|جوليا رابرٽس
Thomas More|ٿامس مور
Salman Rushdie|سلمان رشدي
Ibn Arabi|ابن العربي
