Nicolaus Copernicus|ڪوپرنيڪس
Riaz Ahmed Gohar Shahi|ریاض احمد گوھر شاهي
Ali ibn al-Husayn Zayn al-'Abidin|زين العابدين
Will Durant|ول ڊيورانٽ
Yahya Khan|يحييٰ خان
Amr ibn Hishām|ابوجھل
Iltutmish|شمس الدين التمش
Abdul Muttalib|عبدالمطلب
Aftab Ahmad Sherpao|آفتاب شيرپائو
Agha Shahi|آغا شاھي
Surinder Kaur|سريندر ڪور
Daler Mehndi|دلير مھندي
Lal Krishna Advani|लाल कृष्ण आडवाणी
James Young Simpson|جيمس ينگ سمپسن
Hunayn ibn Ishaq|حنين بن اسحاق
Françoise Bettencourt Meyers|فرانڪوئس بيٽنڪورٽ ميئرس
Baz Bahadur|باز بھادر
Arif Lohar|عارف لوھر
Iftikhar Muhammad Chaudhry|افتخار محمد چوڌري
al-Qasim ibn Muhammad|قاسم بن محمد
Ibn Muqla|ابن مقلہ بيضاوي
Shuayb|شعيب عليہ السلام
Sheikh Muhammad Abdullah|شيخ محمد عبدالله
Sattar Bahlulzade|ستار بهلزاده
Jamiluddin Aali|جميل الدين عالي
Vikramaditya|راجا وڪرمادتيا
Ameen Faheem|مخدوم امين فھيم
Kuldip Nayar|ڪلديپ نير
Ghulam Mustafa Jatoi|غلام مصطفيٰ جتوئي
Abdullah ibn Umar|عبدالله بن عمر
Robert Jones|Robert Jones
Yahya|يحیي علیہ السلام
Mirzo Tursunzoda|مرزا ترسون زادا
Balach Marri|مير بالاچ مري
Abdul Haq|عبدالحق
José Luis Álvarez Álvarez|José Luis Álvarez
Julia Leigh|جوليا لي
Billy Bowden|بلي باؤڊن
Ram Jethmalani|رام ڄيٺملاڻي
Veer Banda Bairagi|بندہ سنگھ بهادر
Ibn-e-Insha|ابن انشا
Iftikhar Arif|افتخار عارف
Mir Chakar Rind|چاڪر خان رند
Jon Elia|جون ايليا
Azad Bilgrami|آزاد بلگرامي
Omar Eldarov|عمر ايلداروف
Ajit Pal Singh|اجيت پال سنگھ
Allah Bukhsh Karim Bukhsh Brohi|اي. ڪي. بروهي
Ameer Bux Bhutto|امير بخش ڀٽو
Anwar Pirzada|انور پيرزادو
Aqeel Jafri|عقيل عباس جعفري
Arif Alvi|عارف علوي
Ashwini Bhave|اشوني ڀاوي
Asif Nawaz|آصف نواز جنجوعا
Ayaz Latif Palijo|اياز لطيف پليجو
Az-Zubayr ibn ‘Abd al-Muttalib|زبيربن عبد المطلب
Baha-ud-din Zakariya|بهاءُ الدين زڪريا
Kartar Singh Sarabha|ڪرتار سنگھ سراڀا
Ernest Trumpp|ارنيسٽ ٽرمپ
Ghulam Mustafa Khan|غلام مصطفيٰ خان
H. M. Khoja|ايڇ. ايم. خواجہ
Habib Jalib|حبيب جالب
Hamida Khuhro|حميده کهڙو
Hassan Ali Effendi|حسن علي آفندي
Hassan Nasir|حسن ناصر
Hüma Şah Sultan|هما شاهه سلطان
Jana Begum|جانان بيگم
Kaveeta|ڪويتا نسرين رضوي
Ibrahim Munshi|ابراھيم منشي
Sibghatullah Shah Rashidi|سيد سبغت الله شاھ ثاني پير پاڳارو
Maulana Ehtisham ul Haq Thanvi|مولانا احتشام الحق ٿانوي
Mir Janullah Shah|مير جان اللہ شاھ رضوي
Muhammad Juman|استاد محمد جمن
Alhaaj Muhammad Owais Raza Qadri|محمد اويس رضا قادري
Munir Hussain|منير حسين
N M Uqaili|اين. ايم. عقيلي
Nazeer Abbasi|نذير عباسي
Nikita Lalwani|نتيڪا لالواڻي
Sikandar Khan Khoso|سڪندر خان کوسو
Sobho Gianchandani|سوڀو گيانچنداڻي
Swara Bhaskar|سوارا ڀاسڪر
Umar Bin Muhammad Daudpota|عمر بن محمد دائود پوٽو
Abdullah Haroon|عبدالله هارون
Mawra Hocane|ماورا حسين
Raheel Sharif|جنرل راحيل شريف
Ayyan|ايان
Suhaee Abro|سُھائي ابڙو
Zoya Afroz|زويا افروز
Imdad Hussaini|امداد حسيني
Shafi Muhammad Burfat|شفيع محمد برفت
Muhammad Haroon Aslam|محمد هارون اسلم
Noor Mohammad Kalhoro|ميان نور محمد ڪلھوڙو
Saif Samejo|سيف سميجو
Thara Kalyan|تارا ڪلياڻ
Sakina Samo|سڪينا سمون
Ghulam Muhammad Khan Bhurgri|بئريسٽر رئيس غلام محمد ڀرڳڙي
Abu Ishaq Ibrahim|ابو اسحاق ابراھيم بن سنان
Sheikh Noor Muhammad|شیخ نور مهمد
Sheila Bhatia|شيلا ڀاٽيا
Bibbo|بيبو (اداڪارڻ)
Naseer Soomro|نصير سومرو
Sabita Devi|سبيتا ديوي
Friederike Spitzenberger|Friederike Spitzenberger
Suhai Aziz Talpur|سهائي ٽالپر
|امام دين گجراتي
Azar Zubi|آذر زوبي
Hotchand Molchand Gurbakhshani|ڊاڪٽر هوتچند مولچند گربشاڻي
Kirat Babani|ڪيرت ٻاٻاڻي
Mangharam Udharam Malkani|منگهارام ملڪاڻي
Amjad Sabri|امجد صابري
Rukhmabai|رکماٻائي
|الهه بچايو سمون
Salahuddin Tunio|صلاح الدين تنيو
Elias Abu|الياس ابڙو
Sarkash Sindhi|سرڪش سنڌي
Akbar Jiskani|اڪبر جسڪاڻي
|محمد بن عبدالله
|احمد مغل
|آغا جعفر علي خان
|آغا غلام نبي پٺاڻ
|آغا نورمحمد پٺاڻ
|ابو طالب آگھمي
|ابو طالب اعواڻ قطب شاھي
|ابو الفضل بن طاھر ٺٽوي
|احمد رضا بروھي
|احمد سولنگي
|احمد شاھ زاڪري
|استاد عاشق علي خان
|استاد نظاماڻي
Akbar Khamiso Khan|اڪبر خميسو خان
|نواب الھداد خان صوفي
|امير علي شاھ
|انور ساگر ڪانڌڙو
Agha Nasir|آغا ناصر
Zuzana Čaputová|زوزانا چاپوتووا
Aheda Zanetti|Aheda Zanetti
Emma Beamish|ايما بيميش
Claude Vaucher|Claude Vaucher
Houda Darwish|هدا درويش
|طالب لغاري
Chakori|چڪوري
Gauri Lankesh|گوري لنڪيش
Nighat Intisar Bhatti|نگھت انتصار ڀٽي
Fazalur Rehman (bureaucrat)|فضل الرحمان (ڪامورو)
Bertrand Devouard|Bertrand Devouard
Atta Muhammad Bhanbhro|عطا محمد ڀنڀرو
Anam Goher|انم گوھر
Tandu bint Hussein|تندو خانم
|احسان دانش
Ghaos Bux Brohi|غوث بخش بروهي
Misri Khan Jamali|مصري خان جمالي
S.M. Qureshi|ايس ايم قريشي
Mariyam Sultana Noohani|مريم سلطانه نوحاڻي
Zeenat Abdullah Channa|زينت عبداللّٰه چنا
Popati Hiranandani|پوپٽي هيرا ننداڻي
Christian Hammers|Christian Hammers
Zhong Shanshan|زھونگ شنشان
Gert Kivistik|Gert Kivistik
Ilia Cota|Ilia Cota
Carlo Jurisevic|Carlo Jurisevic
Birkir Snaer Ingvason|Birkir Snaer Ingvason
Barbora Svrckova|Barbora Svrckova
Wendy Ducruex|Wendy Ducruex
Tatiana Droujinina|Tatiana Droujinina
Tatiana Bossak|Tatiana Bossak
Chantalle Gehrig|Chantalle Gehrig
Séverine Villance|Séverine Villance
Lada Koslikova|Lada Koslikova
Samanta Loschi|Samanta Loschi
Darnelle Moore|Darnelle Moore
Rachel Leroux|Rachel Leroux
Šárka Chmurová|Šárka Chmurová
Sarah Wimmer|Sarah Wimmer
Riccardo Schöpf|Riccardo Schöpf
Eduard Crăciun|Eduard Crăciun
Irina Strebel|Irina Strebel
Sara Villani|Sara Villani
Andreas Haas|Andreas Haas
Joseph Williamson|Joseph Williamson
Mika Schneider|Mika Schneider
Daniel Berlinski|Daniel Berlinski
Yanka Kupala|يانڪا ڪُپالا
Cleopatra|قلوپطرہ
Albert Einstein|البرٽ آئنسٽائن
CeeLo Green|Cee Lo Green
Joe Biden|جو بائيڊن
Jean-Jacques Rousseau|جين جيڪس روسو
Shah Rukh Khan|Shahrukh Khan
Elizabeth II|ايلزبٿ ٻين (برطانيا)
Jennifer Aniston|جينيفر اينسٽن
Akon|ايڪون
Albert Camus|البرٽ ڪامو
Muhammad Ali|محمد علي ڪلي
Mark Zuckerberg|مارڪ زوڪربرگ
Florence Nightingale|فلورينس نائيٽ انگل
Nicole Kidman|نڪول ڪڊمين
Uthman ibn Affan|عثمان
Alī ibn Abī Ṭālib|علي
Nefertiti|نيفرٽيٽي
Strabo|اسٽرابو
Sheikh Hasina|حسينه واجد
Edvard Grieg|ايڊورڊ گريئگ
Shah Jahan|شاهجهان
Jagjit Singh|جگجيت سنگهه
Hatice Muazzez|خديجه معزز سلطان
Henry David Thoreau|ٿوريو
Zafarullah Khan Jamali|ظفر الله خان جمالي
Zaynab bint Khuzayma|زينب بنت خزيمه
Jabir ibn Hayyan|جابر بن حيان
Osman II|عثمان ٻيون
Muhammad al-Idrisi|ادريسي
Vin Diesel|ون ڊيزل
Muawiyah I|امير معاويہ
Zoe Saldana|زوئي سلدانا
Abul Kalam Azad|ابو الڪلام آزاد
Anggun|ڪرڻ
Śuddhodana|سڌو ڌن
George V|جارج پنجون (برطانيا)
Aleksandr Kuprin|اليڪساندرڪوپرن
Mukesh Ambani|مڪيش امباڻي
Guru Gobind Singh|گرو گوبند سنگھ
Mustafa Balel|مصطفي باليل
Ahmad al-Qalqashandi|احمد القشندي
Akbar Bugti|اڪبر بگٽي
Onesicritus|اوني سيڪرٽيوس
Rukmini Devi Arundale|رڪمڻي ديوي اروندويلي
Ovadia Yosep|اوويديا يوسيف
Divya Dutta|ديويا دتا
Husain Haqqani|حسين حقاني
Umm Kulthum bint Ali ibn Abi Talib|ام ڪلثوم بنت علي
Hashim ibn 'Abd Manaf|هاشم
Gara Garayev|گارا گرائيوف
Sir James Outram, 1st Baronet|جيمس آئوٽرام
Turhan Hatice|تورخان خديجه سلطان
Habib Bourguiba|حبيب بورقيبہ
Arthur Lapworth|آرٿر ليپ ورٿ
S. Robson Walton|روب والٽن
Zaynab bint Ali|زینب
Mary in Islam|بيبي مريم
Shreya Ghoshal|شريا گهوشال
Habib ibn al-Muhallab|حبيب بن المهلب
Aram Shah|آرام شاهه
Rukn ud din Firuz|رڪن الدين فيروز
Al-Khansa|خنساء بنت عمرو
Asmā' bint Abu Bakr|بيبي اسماء رضہ
Shikaripura Ranganatha Rao|ايس. آر. رائو
Raja Birbal|بيربل
Gargi Vachaknavi|گارگي واچڪنوي
Bade Ghulam Ali Khan|استاد بڙي غلام علي خان
Félix du Temple de la Croix|فيلڪس ڊو ٽيمپل
Kader Khan|قادر خان
Mohammad Amir|محمد عامر
Ashfaq Ahmad|اشفاق احمد
Rajkumar Hirani|راجڪمار هيراڻي
Jaswant Singh|جسونت سنگهه
Mangammal|منگامل
Sobha Singh|سوڀا سنگھ
Asad ibn Hashim|اسد
Sind ibn Ali|سند بن علي
Shemr|شمر
Agha Hasan Abedi|آغا حسن عابدي
Ahfazur Rahman|احفاظ الرحمان
Ahmad Salim|احمد سليم
Alam Channa|عالم چنا
Allan Fakir|علڻ فقير
Altaf Shaikh|الطاف شيخ
Asadullah Bhutto|اسدالله ڀٽو
Aslam Farrukhi|ڊاڪٽر اسلم فرخي
Ben Goldsmith|بين گولڊ سمٿ
Bhagat Kanwar Ram|ڀڳت ڪنور رام
Fahad Mustafa|فهد مصطفيٰ
Habib Ibrahim Rahimtoola|حبيب ابراهيم رحمت الله
Izhar Qazi|اظھار قاضي
Jam Sadiq Ali|ڄام صادق علي
Jan Muhammad Junejo|جان محمد جوڻيجو
Khalid M. Ishaq|خالد اسحاق
Tajal Bewas|تاجل بيوس
Abdallah ibn Uthman ibn Affan|عبدالله بن عثمان
Mir Babar Ali Anis|مير انيس
Mir Sher Muhammad Talpur|مير شير محمد ٽالپور
Mirza Kalich Beg|مرزا قليچ بيگ
Mohammad Hayya Al-Sindhi|محمد حيات سنڌي مدني
Mumtaz Bhutto|ممتاز ڀٽو
Nanda|نندا
Qadir Magsi|قادر مڱسي
Rasul Bux Palejo|رسول بخش پليجو
Robin Birley|روبن برلي
Rooplo Kolhi|روپلو ڪولهي
Sassui Palijo|سسئي پليجو
Satinder Satti|ستيندرستي
Shahryar|شھزادو شھريار خان
Sher Singh|شير سنگھ
Qutbuddin Bakhtiar Kaki|قطب الدين بختيار ڪاڪي
|محمد دوم
Sri Chand|بابا سريچند
Sultan Rahi|سلطان راهي
Sundri Uttamchandani|سُندري اُتمچنداڻي
Sadhumal Surendar Valasi|سريندر ولاسائي
Syed Ata Ullah Shah Bukhari|سيد عطاءُ الله شاهه بخاري
Trevor Beattie|Trevor Beattie
Varun Dhawan|وارن ڌاون
Zainab Tari|زينب سومرو
Mir Hazar Khan Khoso|جسٽس مير ھزار خان کوسو
Saeeduzzaman Siddiqui|سعيدالزمان صديقي
Kamala Harris|ڪاملا هيرس
Junaid Jamshed|جنيد جمشيد
Masako Nakata|مساڪو نڪاتا
Layal Abboud|ليال عبود
Shazia Manzoor|شازيہ منظور
Mamnoon Hussain|ممنون حسين
Meraj Muhammad Khan|معراج محمد خان
Muhammad Tahir|خواجه محمد طاهر بخشي
Humaira Channa|حميره چنا
James Heilman|جيمس هائلمين
Reham Khan|ريحام خان
Natasja Nobels|Natasja Nobels
Hazrat Khawaja Muhammad Zaman Luari Sharif|محمد زمان پھريون
'Umar ibn Hafs Hazarmard|عمر بن حفص
Mir Muhammad Soomro|مير محمد سومرو
Ghulam Rabbani Agro|غلام رباني آگرو
Mujeeb Rahman Chandio Hussaini|مجيب الرحمان
Manzoor Sakhirani|منظور سخيراڻي
Natania Lalwani|نتانيا لالواڻي
Sakhi Sarwar Saint|سيد سلطان احمد
|صابر آفاقي
Al-Muqawwim ibn Abdul-muttalib|مقوم بن عبد المطلب
Sana Javed|ثناء جاويد
Adnan|عدنان
Molai Sheedai|رحيمداد خان مولائي شيدائي
Gobind Malhi|گوبند مالهي
Molvi Ahmed Mallah|احمد ملاح
Muneer Ahmed Manik|ماڻڪ
Atta Mohammad Hami|عطا محمد حامي
Tariq Alam Abro|طارق عالم ابڙو
Ayaz Jani|اياز جاني
Neha Dixit|نيها ڊڪشت
Sarfaraz Rajar|سرفراز راڄڙ
Akbar Laghari|اڪبر لغاري
Husna Bai|حسنا ٻائي
Yazid ibn Abi Kabsha al-Saksaki|يزيد بن ابي ڪبشہ
|قمر شهباز
|صوفي وريل فقير
|غلام نبي گل
|محمد جمن چارڻ
|ذوالفقار علي ڀٽي
|محمد صديق پرهيار
|سيد پپو شاه
|آدم شاهه جو تڪيو
|آصف بالادي
|آصف هالائي
|آفتاب سومرو
|ابو عطا سنڌي
|ابو محمد سالم سنڌي
|ابو اسحاق ابراھيم سنڌي موصلي
|ابو القاسم سلطان ٺٽوي
|ابو بڪر شبلي
|احمد بخش احمد مورائي
Mullah Ahmad Bhatawi|ملا احمد ٺٽوي
|احمد سلطان چانڊيو
|احمد شيخ
|اختر بلوچ
|استاد احمد خان
|استاد گلزار علي خان
|استاد وريلداس
|استاد نبي بخش مڱڻھار
|اسحاق آھنگر
|اسماعيل شاھ بخاري
|الطاف اثيم
|الطاف عباسي
|الطاف ملڪاڻي
|امام بخش خادم
|امام بخش خان مير
|صوفي امداد عباس
|امر ساھڙ
Amar Fayaz Buriro|امر فياض
|امير حيدر شاھ
|نور محمد انڍڙ
|انور علي سرھيو
|بابا بنکنڊي مھراج
Dipali Barthakur|ديپالي برٺاڪر
Mohsin|سيد مراد علي شاهہ
Rahila Magsi|راحيلا مگسي
Jagjit Kaur|جگجيت ڪور
Ahmed Mian Soomro|احمد ميان سومرو
Nighat Chaodhry|نگھت چوڌري
|عزیز کنگرانی
Miguel López González|Miguel López González
Rodrigo Medina Benjumea|Rodrigo Medina Benjumea
Alfonso Toro Buiza|Alfonso Toro Buiza
José Jiménez Jimena|José Jiménez Jimena
Jam Raidhan|ڄام راءَ ڏنو
Giacomo Tocci|Giacomo Tocci
Choithram Gidwani|ڊاڪٽر چوئٿرام گدواڻي
Attiya Dawood|عطيا دائود
Jahan Dad Khan|جهان داد خان
Emily Hauze|ايملي هاز
Murtaza Wahab|مرتضى وهاب
Syed Samsuddin Ahmed|سيد شمس الدين
Ali Akash|علي آڪاش
Antonio Fresco|انتونيو فريسوڪو
Bhupen Lalwani|ڀپين لالواڻي
Fabienne Lupo Magnaudet|Fabienne Lupo Magnaudet
Allah Bachayo Khoso|ﷲ بچايو کوسو
|نوشي گيلاني
Noor Bano|نور بانو (ڳائڻي)
Ali Gul Sangi|علي گل سانگي
Taj Baloch|تاج بلوچ
Mitha khan Zardari|گهڙي نواز مٺا خان زرداري
Kelly Vedovelli|Kelly Vedovelli
Yanina Kuskova|Yanina Kuskova
Greta Karasiovaite|Greta Karasiovaite
Joseph Samudio|Joseph Samudio
Dimitrios Christakos|Dimitrios Christakos
Muhammad Shahmir Aiman Abdul Halim|Muhammad Shahmir Aiman Abdul Halim
Sakchai Phodingam|Sakchai Phodingam
Karina Louise Sørensen|Karina Louise Sørensen
Mira Peeters|Mira Peeters
Cybil Di Guistini|Cybil Di Guistini
Anna-Sophia Czilwik|Anna-Sophia Czilwik
Myriam Desrosiers|Myriam Desrosiers
Adéla Vlnova|Adéla Vlnova
Monika Richterova|Monika Richterova
Nicholas Timmings|Nicholas Timmings
Ruth Demeijer|Ruth Demeijer
Chantal Polansky|Chantal Polansky
Liliano Leenknegi|Liliano Leenknegi
Kim Van Gastel|Kim Van Gastel
Nicole Peitzmeier|Nicole Peitzmeier
Jonathan Eric Gustafson|Jonathan Eric Gustafson
Qazi Qadan|قاضي قاضن
Dominik Hufschmid|Dominik Hufschmid
Lorenz Hollenbach|Lorenz Hollenbach
Matthias Grahé|Matthias Grahé
Bruno Schiemann|Bruno Schiemann
Justin Jacob|Justin Jacob
Hakim Ali Shah Bukhari|حاڪم علي شاھ بخاري
François Hollande|فرانڪو اولاند
Carl Sagan|ڪارل سيگن
Salvador Allende|آلندي سيلويڊار
Isaac Newton|آئزڪ نيوٽن
Charles Darwin|چارلس ڊاروِن
Nebuchadnezzar II|بخت نصر
Angelina Jolie|اينجلينا جولي
Amancio Ortega|امانسيئو اورٽيگا
Atropates|آتروپات
Muhammad bin Qasim|محمد بن قاسم
Yasser Arafat|ياسر عرفات
Muhammad Rafiq Tarar|رفيق تارڙ
Ho Chi Minh|ھو چي منھ
Rasul Gamzatov|رسول حمزه توف
Warren Buffett|وارن بفيٽ
Emma Goldman|ايما گولڊمين
Husayn ibn Ali|حسين ابن علي
Kristen Stewart|ڪرسٽين اسٽيورٽ
Stamford Raffles|سرٿامس اسٽئمفورڊ رئفلس
Lee Kuan Yew|لي ڪوان يئو
George Stephenson|جارج اسٽيفنسن
Zaynab bint Jahsh|زينب بنت جحش
Adnan Oktar|هارون يحيٰ
Mohammed Amin al-Husseini|امين الحسيني
Zeb-un-Nisa|زيب النساء بيگم
Pedro Calderón de la Barca|پيڊرو ڪليڊرون
Mansur Al-Hallaj|منصور الحلاج
Bodhidharma|ٻوڌيڌرما
Sirimavo Bandaranaike|سريماوو بندرانائڪي
Félix Houphouët-Boigny|فيلڪس ھوفوئي بوئني
Ismail I|شاهه اسماعيل
Corinna|ڪورينا
Rabia of Basri|رابعہ بصري
Estakhri|اصطخري
Abu Isa at-Tirmidhi|امام ترمذي
Abdul Qadir Gilani|عبدالقادر جيلاني
A. Q. Khan|عبدالقدير خان
Kabir|ڀڳت ڪبير
Uzeyir Hajibeyov|عزير حاجيبايوف
Komitas|ڪوميتاس
Abul Ala Maududi|ابوالاعليٰ مودودي
Bismillah Khan|استاد بسم الله خان
Bayazid Bastami|بايزيد بسطامي
Muhammad bin Tughluq|محمد شاھ تغلق
Razia Sultana|رضيا سلطانا
Dhirubhai Ambani|ڌيرو ڀائي امباڻي
Muhammad Iqbal|علامه اقبال
Alp Tigin|الپتگين
Qutb-ud-Din Bakhtiar Kaki|خواجہ معين الدين چشتي
Sanam Baloch|صنم بلوچ
Maya|مايا
Sohail Khan|سهيل خان
Uqbah ibn Amir|عقبه بن عامر
Viola Paulitz|Viola Müller-Paulitz
John Marshall|سر جان مارشل
Alla Rakha|الھه رکا
Deepika Kumari|ديپيڪا ڪماري
Solomon in Islam|سليمان عليہ السلام
Maryam Mirzakhani|مريم ميرزاخاني
Ibrahim Ismail Chundrigar|آءِ آءِ چندريگر
Zubaidah bint Ja`far|زبيده
Abd-Allah ibn Muhammad|عبد الله بن محمد
Abida Parveen|عابده پروين
Asko Parpola|آسڪو پارپولا
Abul-Fazl Bayhaqi|ابو الفضل بيھقي
Altaf Hussain|الطاف حسين
Edd Kalehoff|Edd Kalehoff
James Goldsmith|جيمز گولڊ سمٿ
Ibrahim ibn Muhammad|ابراهيم بن محمد
Rajnath Singh|راجناٿ سنگھ
Sudha Murthy|سوڌا مورتي
Nanda|نند
Muhammad Sarwar|ڪيپٽن محمد سرور شهيد
Abdul Hafiz Pirzada|عبدالحفيظ پيرزادو
Abdul Jabbar Junejo|عبدالجبار جوڻيجو
Adal Soomro|ادل سومرو
Adeebul Hasan Rizvi|ڊاڪٽر اديب رضوي
Adriaen Honich|Adriaen Honich
Amjad Hyderabadi|امجد حيدرآبادي
Anwar Solangi|انور سولنگي
Asghar Khan|اصغر خان
Badi' ud-Din Shah al-Rashidi|سيد بديع الدين شاھ راشدي
Binodini Dasi|بنودني داسي
Bridget Allchin|برجيٽ آلچن
Dodo Bin Khafef Soomro III|دودو بن خفيف سومرو ٽيون
Dulla Bhatti|دلا ڀٽي
Elsa Kazi|ايلسا قاضي
Eshita Mehboob|اشيتا محبوب
Farman Fatehpuri|فرمان فتح پوري
Haleem Brohi|حليم بروھي
Huma Bhabha|هما ڀاڀا
Hyder Bux Jatoi|حيدر بخش جتوئي
Ishrat Hussain Usmani|ڊاڪٽر آءِ ايڇ عثماني
Ishtiaq Hussain Qureshi|اشتياق حسين قريشي
Jam Unar|ڄام انڙ فيروزالدين
Liaquat Ali Jatoi|لياقت علي جتوئي
Nadeem Sarwar|سيد نديم رضا سرور
Long Jeanne Silver|لانگ جين سلور
Badshah Begum|بادشاھ بيگم (اول)
Mazhar Abro|مظهر ابڙو
Mir Ali Sir Thattvi|مير علي شير قانع ٺٽوي
Syed Muzafar Hussain Shah|مظفر حسين شاهه
Nasim Zehra|نسيم زهرا
Nau Nihal Singh|نو نهال سنگھ
Qadir Bux Bedil|فقير قادر بخش بيدل
Raziuddin Siddiqui|رضي الدين صديقي
Sahle-Work Zewde|سهالي ورڪ زيوڊي
Samyukta|سنجوگيتا
Teejan Bai|تيجن ٻائي
Tridev Roy|راجا تري ديو راءِ
Savitha Sastry|ساوٿا سيستري
Rawh ibn Hatim al-Muhallabi|روح بن حاتم مھلبي
Anicia Proba|Anicia Proba
Menaka Lalwani|مينيڪا لالواڻي
Jam Nizamuddin II|ڄام نظام الدين سمو
Parvathy Baul|پاروتي بول
Aleksandr Zakharchenko|اليگزينڊر زاخارچنڪو
Roshan Atta|روشن عطا
Waseem Akhtar|وسيم اختر
Syed Ayaz Ali Shah Sheerazi|اياز علي شاھ شيرازي
Jürg Stäubli|Jürg Stäubli
Rana Dajani|رانا دجاني
Jamshed Nusserwanjee Mehta|جمشيد نسروانجي مهتا
Jagjeet Singh|جگجيت سنگهه
Laksh Lalwani|لڪش لالواڻي
Jeevni Bai|جيوڻي ٻائي
Shadab Khan|شاداب خان
Kalyan Bulchand Advani|ڪلياڻ آڏواڻي
Shaikh Abdul Majeed Sindhi|شيخ عبدالمجيد سنڌي
Shamsher-ul-Hyderi|شمشير الحيدري
Hassan Dars|حسن درس
Ali Baba|علي بابا
|آغا عبدالحميد خان اسپتال
Mir Abdul Hussain Sangi|مير عبدالحسين
|نور محمد لاشاري
|امام راشدي
|عبدالوهاب سڪندري
|آدم خان پنهور
|رام ڪرشن ھيرانند راھي آڏواڻي
|آزاد انور ڪانڌڙو
|آزاد بخاري
|محمد رمضان آزاد
|آصف قاضي
|آغا شمشاد مغل
|شيخ موسيٰ آھيداڻي
|احمد ابڙو
|ابو علي سنڌي
|ابو البشير ميمڻ
|ابو القاسم نمڪين
|احسان علي
|احسان ايڇ نديم
Ahmad Raza Shah Jilani|احمد رضا شاھ جيلاني
|احمد علي شاھ
|احمد مجتبيٰ غالب
|اختر جھوناڳڙھي
|استاد ھدو خان
|اسدالله شاھ حسيني
|اسماعيل شيخ
|الطاف پيرزادو
|امام علي شاھ
|امام ضامن
|امجد شاھ جيلاني
|امر اقبال
|امر لعل ھنڱوراڻي
|مخدوم امين محمد ثاني ھالائي
|آغا حامد علي احمد زئي
|ابراهيم پتافي
|احسان علي شاھ
|امير بخاري
Alain de Chambrier|Alain de Chambrier
Saeed Ghani|سعيد غني
Shah Aqeeq Baba|شاھ عقیق بابا
Eusebio Calonge Francés|Eusebio Calonge Francés
Joaquín Pla Laporta|Joaquín Pla Laporta
Gaji Shah|سيد گاجي شاهه
|عبدالرحيم ڀرچونڊي
|حافظ محمد احسن چنا
|شبير ڪنڀار
Shaukat Shoro|شوڪت شورو
Jiten Lalwani|جتن لالواڻي
Tariq Masood Arain|طارق مسعود آرائين
Muhammad Sadiq Sanjrani|صادق سنجراڻي
Yashika Aannand|ياشيڪا آنند
Nazo Dharejo|نازو ڌاريجو
Jacopo Orsini|Jacopo Orsini
Kaleemullah Lashari|ڪليم الله لاشاري
Victor-Charles-Émile Dain|Victor-Charles-Émile Dain
Ilene Marckx|Ilene Marckx
Noora Mengal|نورا مينگل
Saloni Gaur|سلوني گور
Geeta Khanwani|گيتا کانواڻي
Mir Abdul Rasool Mir|مير عبدالرسول مير
|شهناز ڀٽي
Hyder Ali Leghari|حيدر علي لغاري
|فقير محمد سومرو
Lianne Witkin|Lianne Witkin
Pushpa Kumari Kohli|پشپا ڪماري ڪوهلي
Teodor Rusev|Teodor Rusev
Rokas Kmieliauskas|Rokas Kmieliauskas
Marc Oliver Pritzen|Marc Oliver Pritzen
Tsveta Nesheva|Tsveta Nesheva
Doreen Weise|Doreen Weise
Nele Van Den Bossche|Nele Van Den Bossche
Sandra Degueldre|Sandra Degueldre
Claudia Marietta|Claudia Marietta
Karry Ellen Hellmuth|Karry Ellen Hellmuth
Patricia Hempel|Patricia Hempel
Ann Roegiers|Ann Roegiers
Saskia Van Duuren|Saskia Van Duuren
Marieke Haverdings|Marieke Haverdings
Luisiana Pegoraro|Luisiana Pegoraro
Erika Schertl|Erika Schertl
Deira Mari|Deira Mari
Nadia Zuccherelli|Nadia Zuccherelli
Silvia Zoller|Silvia Zoller
Elfie Kunz|Elfie Kunz
Karin Avenant|Karin Avenant
Ljudmilla Corneo|Ljudmilla Corneo
Cornelia Dreher|Cornelia Dreher
Mārtiņš Bots|Mārtiņš Bots
Detelina Marinova|Detelina Marinova
Dawn Richardson Wilson|Dawn Richardson Wilson
Mike Evelyn|Mike Evelyn
Kenny Weyh|Kenny Weyh
Joyce Echaquan|Joyce Echaquan
Jimmy Wales|جمي ويلس
Adolf Hitler|هٽلر
Genghis Khan|چنگيز خان
Leonardo da Vinci|ليونارڊو ڊي ونچي
Mahatma Gandhi|موهنداس ڪرمچند گانڌي
Hafez|حافظ شيرازي
Christopher Columbus|ڪرسٽوفر ڪولمبس
Vasco da Gama|واسڪو ڊيگاما
Irène Joliot-Curie|آئرين جوليٽ ڪيوري
Vladimir Putin|ولاديمير پيوتن
Alexander the Great|سڪندر اعظم
Timur|تيمور لنگ
Thomas Alva Edison|ٿامس ايڊيسن
Ibn Khaldun|ابن خلدون
Gautama Buddha|گوتم ٻڌ
Dadabhai Naoroji|دادا ڀائي نائوروجي
Pythagoras|پئٿاگورس
Ibn al-Haytham|ابن ھيثم
Ibn Bajjah|ابن باجه
Esther David|ايستر ڊيوڊ
George Bernard Shaw|جارج برنارڊشا
