Arthur Ashe|आर्थर अ‍ॅश
Madison Brengle|मॅडिसन ब्रेंगल
Vitas Gerulaitis|व्हिटास जेरुलायटिस
Alexa Glatch|अलेक्सा ग्लाच
Göran Persson|गोरान पर्स्सन
Stanisław Leszczyński|स्तानिस्लॉस पहिला, पोलंड
Władysław IV Vasa|व्लादिस्लॉ चौथा व्हासा
Sloane Stephens|स्लोन स्टीवन्स
Bimal Roy|बिमल रॉय
Mehboob Khan|मेहबूब खान
Satish Alekar|सतीश वसंत आळेकर
Chintaman Vinayak Vaidya|चिंतामण विनायक वैद्य
Narayan Waman Tilak|नारायण वामन टिळक
Narayan Gangaram Surve|नारायण सुर्वे
Shreedhar Swami|श्रीधर स्वामी
Shanta Shelke|शांता शेळके
Tryambak Shankar Shejwalkar|त्र्यंबक शंकर शेजवलकर
Govind Sakharam Sardesai|गोविंद सखाराम सरदेसाई
Pandurang Sadashiv Sane|पांडुरंग सदाशिव साने
Bal Samant|बाळ गंगाधर सामंत
A. H. Salunkhe|आण्णासाहेब हरी साळुंखे
Dwarkanath Madhav Pitale|द्वारकानाथ माधव पितळे
Max von Laue|माक्स फोन लाउअ
Daniel Gabriel Fahrenheit|डॅनियल फॅरनहाइट
Adolf von Baeyer|एडॉल्फ फोन बेयर
Lutz Graf Schwerin von Krosigk|लुट्झ ग्राफ श्वेरिन फॉन क्रोसिक
Friedrich Paulus|फ्रीडरीश पॉलस
Ferdinand Porsche|फर्डिनांड पोर्शे
Traian Băsescu|त्रायन बसेस्कू
Ivan Gašparovič|इव्हान गास्पारोविच
Abdullah of Saudi Arabia|अब्दुल्ला, सौदी अरेबिया
Bamir Topi|बामिर टॉपी
Laura Chinchilla|लाव्रा चिनचिया
Ali Khamenei|अली खामेनेई
Dalia Grybauskaitė|दालिया ग्रिबूस्काइते
Joseph Kabila|जोसेफ कबिला
Hifikepunye Pohamba|हिफिकेपुन्ये पोहांबा
Jakaya Mrisho Kikwete|जकाया किक्वेते
Otto Pérez Molina|ओत्तो पेरेझ मोलिना
Sali Berisha|सली बेरिशा
Yingluck Shinawatra|यिंगलक शिनावत
Antonis Samaras|आंतोनिस समारास
Baburam Bhattarai|बाबुराम भट्टराई
Victor II|पोप व्हिक्टर दुसरा
Clement II|पोप क्लेमेंट दुसरा
Max Born|मॅक्स बॉर्न
Serge Gnabry|सर्ज ग्नॅब्री
Gottlob Frege|गॉटलॉब फ्रेजी
Martin Harnik|मार्टिन हर्निक
Hans Langsdorff|हान्स लांग्सडोर्फ
Gustave Whitehead|गुस्ताव व्हाईटहेड
Genelia D'Souza|जेनेलिया डिसूझा
Shripad Narayan Pendse|श्रीपाद नारायण पेंडसे
Ajmal Kasab|अजमल कसाब
Padamsinh Bajirao Patil|पद्मसिंह बाजीराव पाटील
Hans Georg Dehmelt|हान्स जॉर्ज डेहमेल्ट
Carl Wilhelm Scheele|कार्ल विल्हेम शील
Ralph Macchio|राल्फ माचियो
Abdurrahman Wahid|अब्दुर्रहमान वहीद
Wilhelm Keitel|विल्हेम कायटेल
Siegfried Lenz|सीगफ्रीड लेन्झ
Rainer Maria Rilke|रायनर मारिया रिल्के
Joseph II, Holy Roman Emperor|जोसेफ दुसरा, पवित्र रोमन सम्राट
Gerhard Herzberg|गेर्हार्ड हर्झबर्ग
Frank-Walter Steinmeier|फ्रांक-वाल्टर श्टाईनमायर
Wilhelm Eduard Weber|विल्हेल्म एडुआर्ड वेबर
Tim Borowski|टिम बोरोव्स्की
Rainer Schüttler|रैनर शूटलर
J. Hans D. Jensen|जे. हान्स डी. जेन्सेन
Julia Görges|जुलिया ग्योर्जेस
Angelique Kerber|अँजेलिक कर्बर
Ehrenfried Walther von Tschirnhaus|एह्रेनफ्रीड वाल्थर फॉन चिर्नहाउस
Kathrin Wörle-Scheller|कॅथ्रिन वोर्ले
Thomas Klestil|थॉमस क्लेस्टिल
John Milton|जॉन मिल्टन
José Mourinho|होजे मौरिन्हो
Nicolae Ceaușescu|निकोलाइ चाउसेस्कु
Anaximenes of Miletus|अॅनॅक्झिमेनीस
Tenzing Norgay|तेनझिंग नोर्गे
Harrison Ford|हॅरिसन फोर्ड
Aldous Huxley|आल्डस हक्सली
Daniel Ricciardo|डॅनियेल रिकार्डो
Jacinto Benavente|हासिंतो बेनाव्हेंते
Pius I|पोप पायस पहिला
John Terry|जॉन टेरी
Sher Shah Suri|शेरशाह सूरी
Yukihiro Matsumoto|युकिहिरो मात्सुमोतो
Pär Lagerkvist|पार लागेरक्विस्ट
Madhu Sudan|मधु सूदन
Ehud Olmert|एहूद ओल्मर्ट
Hilary Swank|हिलरी स्वँक
James Wilson|जेम्स विल्सन
Warren Beatty|वॉरेन बीटी
Andrew Flintoff|अँड्रु फ्लिन्टॉफ
Murad I|पहिला मुराद
Zhao Ziyang|चाओ झियांग
Innocent XI|पोप इनोसंट अकरावा
Alexander VIII|पोप अलेक्झांडर आठवा
Liberius|पोप लायबेरियस
Darius III|तिसरा दारियुश
Steven Soderbergh|स्टीव्हन सॉडरबर्ग
Charlie Sheen|चार्ली शीन
Urbain Le Verrier|उर्बैन ली व्हेरिये
Eugene II|पोप युजीन दुसरा
Mohamed Naguib|मुहम्मद नजीब
Sidney Sheldon|सिडने शेल्डन
Tom Clancy|टॉम क्लॅन्सी
Marion Bartoli|मॅरियन बार्तोली
Hugo Almeida|हुगो अल्मेडा
Mirza Ghalib|मिर्झा गालिब
Tigran Sargsyan|तिग्रान सर्गस्यान
Anne of Great Britain|अ‍ॅन, ग्रेट ब्रिटनची राणी
Krishnadevaraya|कृष्णदेवराय
Hakan Yakın|हकान यकिन
Diego Benaglio|दिएगो बेनाग्लियो
Charles II of England|चार्ल्स दुसरा
Charles Édouard Guillaume|चार्ल्स एदुआर्द ग्वियॉमे
Gloria Macapagal-Arroyo|ग्लोरिया मॅकापगाल-अरोयो
Nicolaus II Bernoulli|निकोलस बर्नोली
Nagasena|नागसेन
Albert A. Michelson|आल्बर्ट अब्राहम मिकेलसन
Bahadur Shah Zafar|बहादूरशाह जफर
Douglas MacArthur|डग्लस मॅकआर्थर
Edward Heath|एडवर्ड हीथ
Xerxes I|झेरेक्सिस पहिला
Francis I of France|पहिला फ्रांस्वा
Harshavarman I|पहिला हर्षवर्मन
Zulfiqar Ali Bhutto|झुल्फिकार अली भुट्टो
Humphry Davy|हम्फ्री डेव्ही
George II of Great Britain|दुसरा जॉर्ज, ग्रेट ब्रिटन
Anterus|पोप अँटेरस
Sania Mirza|सानिया मिर्झा
Paul V|पोप पॉल पाचवा
Susan Sarandon|सुसान सॅरेंडॉन
Willem Barents|विलेम बारेंट्स
Nawaz Sharif|नवाझ शरीफ
Louis VII of France|सातवा लुई
Erik Axel Karlfeldt|एरिक अॅक्सेल कार्लफेल्ट
Boniface VIII|पोप बॉनिफेस आठवा
