Bhagwat Sharan Agarwal|ਭਗਵਤਸ਼ਰਣ ਅੱਗਰਵਾਲ
Rosa Parks|ਰੋਜ਼ਾ ਪਾਰਕਸ
Democritus|ਡੇਮੋਕਰੀਟਸ
Henri Bergson|ਆਨਰੀ ਬਰਗਸਾਂ
Wisława Szymborska|ਵੀਸਵਾਵਾ ਸ਼ਿੰਬੋਰਸਕਾ
Leif Erikson|ਲੀਫ ਐਰਿਕਸਨ
Ivan Pavlov|ਇਵਾਨ ਪਾਵਲੋਵ
Hans Christian Ørsted|ਹਾਜ਼ ਕਰਿਸਟੀਅਨ ਓਰਸਟਡ
Randy Orton|ਰੈਂਡੀ ਓਰਟਨ
Eduardo Galeano|ਏਦੋਆਰਦੋ ਗਾਲੇਆਨੋ
Jack London|ਜੈਕ ਲੰਡਨ
Behramji Malabari|ਬੇਹਰਾਮਜੀ ਮਾਲਾਬਰੀ
Robert Hooke|ਰਾਬਰਟ ਹੁੱਕ
Enrique Iglesias|ਏਨਰੀਕੇ ਈਗਲੇਸੀਅਸ
Elfriede Jelinek|ਐਲਫਰੀਡ ਜੇਲੀਨੇਕ
Ivo Andrić|ਈਵੋ ਆਂਦਰਿਚ
Ernst Haeckel|ਅਰਨਸਟ ਹੈੱਕਲ
Bhai Daya Singh|ਭਾਈ ਦਇਆ ਸਿੰਘ
Victor Horta|ਵਿਕਟਰ ਹੋਰਟਾ
Arthur Ashe|ਆਰਥਰ ਏਸ਼
Robert Altman|ਰੌਬਰਟ ਆਲਟਮੈਨ
Nikita Mikhalkov|ਨਿਕੀਤਾ ਮਿਖਾਲਕੋਵ
Bimal Roy|ਬਿਮਲ ਰਾਏ
Mehboob Khan|ਮਹਿਬੂਬ ਖਾਨ
Leni Riefenstahl|ਲੇਨੀ ਰੇਫੇਨਸਟਾਲ
Shanta Shelke|ਸ਼ਾਂਤਾ ਸ਼ੇਲਕੇ
Tryambak Shankar Shejwalkar|ਤ੍ਰਅੰਬਕ ਸ਼ੰਕਰ ਸ਼ੇਜਵਲਕਰ
Pandurang Sadashiv Sane|ਪਾਂਡੂਰੰਗ ਸਦਾਸ਼ਿਵ ਸਾਨੇ
Erich Fromm|ਐਰਿਕ ਫਰੌਮ
Abdullah of Saudi Arabia|ਅਬਦੁੱਲਾ, ਸਾਊਦੀ ਅਰਬ
Yingluck Shinawatra|ਯੀਂਗਲਕ ਸ਼ਿਨਾਵਾਤਾਰਾ
Liam Neeson|ਲਿਆਮ ਨੀਸਨ
Edmund Husserl|ਐਡਮੰਡ ਹਸਰਲ
Max Born|ਮੈਕਸ ਬੌਰਨ
Diogenes of Sinope|ਦੀਓਜੇਨਸ
Gottlob Frege|ਗੌਟਲੋਬ ਫਰੀਗ
Herbert Marcuse|ਹਰਬਰਟ ਮਾਰਕਿਊਜ਼
Eckhart Tolle|ਏਕਹਾਰਟ ਟੋਲ
Genelia D'Souza|ਜੇਨੇਲੀਆ ਡੀਸੂਜ਼ਾ
Shripad Narayan Pendse|ਸ਼ਰੀਪਦ ਨਾਰਾਇਣ ਪੇਂਡਸੇ
Nathaniel Hawthorne|ਨੈਥੇਨੀਏਲ ਹਥਾਰਨ
Ajmal Kasab|ਅਜਮਲ ਕਸਾਬ
Lily Braun|ਲਿਲੀ ਬ੍ਰਾਉਨ
Vijessna Ferkic|ਵਿਜੇਸਨਾ ਫ਼ਰਕਿਕ
Samuel Goldwyn|ਸੈਮੂਅਲ ਗੋਲਡਵਿਨ
Eva Braun|ਈਫਾ ਬਰਾਊਨ
Rainer Maria Rilke|ਰੇਨਰ ਮਾਰਿਆ ਰਿਲਕੇ
Paul Heyse|ਪਾਲ ਹਾਇਜ਼
Max Scheler|ਮੈਕਸ ਸ਼ੈਲਰ
Wilhelm Eduard Weber|ਵਿਲਹੈਮ ਐਡੂਅਰਡ ਵੈਬਰ
Hans Morgenthau|ਹੈਂਜ ਮੌਰਗਨਥੂ
Hanns Eisler|ਹਾਂਸ ਆਈਸਲਰ
John Milton|ਜੌਨ ਮਿਲਟਨ
Nicolae Ceaușescu|ਨਿਕੋਲੇਈ ਚਾਉਸੈਸਕੂ
Tenzing Norgay|ਤੇਨਜ਼ਿੰਗ ਨੋਰਗੇ
Aldous Huxley|ਐਲਡਸ ਹਕਸਲੇ
Jacinto Benavente|ਖਾਸਿੰਤੋ ਬਿਨਾਵੇਂਤੇ
Sher Shah Suri|ਸ਼ੇਰ ਸ਼ਾਹ ਸੂਰੀ
Khushal Khan Khattak|ਖੁਸ਼ਹਾਲ ਖੱਟਕ
Fritjof Capra|ਫ਼ਰਿਟਜੋਫ਼ ਕਾਪਰਾ
Pär Lagerkvist|ਪਾਰ ਲਾਗੇਰਕਵਿਸਟ
Chaman Lal Chaman|ਚਮਨ ਲਾਲ ਚਮਨ
Fred Astaire|ਫਰੈੱਡ ਅਸਟੇਅਰ
Jennifer Connelly|ਜੈਨੀਫ਼ਰ ਕੌਨਲੀ
Bonnie Wright|ਬੋਨੀ ਰਾਈਟ
Rod Laver|ਰਾਡ ਲੇਵਰ
Otto Schlüter|ਓਟੋ ਸਲੁੂਟਰ
