Elsa Einstein|ایلسا آئن سٹائن
Muqbil bin Haadi al-Waadi'ee|مقبل بن ہادی الوداعی
Ajmal Kasab|اجمل قصاب
Tyra Misoux|ٹایرا مسو
Hans Georg Dehmelt|ہنس جیورج ڈیہلمٹ
Abdul Hamid Khan Bhashani|عبد الحمید خان بھاشانی
Willard Boyle|ولارڈ ایس بوائل
Thibaut Courtois|تیبو کورتوا
Annemarie Schimmel|ڈاکٹر شِمل
Emil Adolf von Behring|امیل وون بیرنگ
Carl von Clausewitz|کارل فان کلازوٹز
Eva Braun|ایوا براؤن
Paul Heyse|پال ہیسی
Joseph II, Holy Roman Emperor|جوزف دوم
Johann Ernst Hanxleden|آرنوس پادرے
Gerhard Herzberg|لویس ٖفیڈریکو لیلوئر
Hans Fischer|ہانز فشر
J. Hans D. Jensen|جے ہنس ڈی ہنسن
Meryem Uzerli|مریم سارہ ازرلی
Fritz Albert Lipmann|فرٹز البرٹ لیپ مین
Erwin Neher|ارون نیہر
Lena Nitro|لینا نیٹرو
John Milton|جان ملٹن
Abbas Mirza|عباس میرزا
Anaximenes of Miletus|اناکسی مینس
Tenzing Norgay|تینزنگ نارگے
Charlton Heston|چارلٹن ہسٹن
Aldous Huxley|آلدوس ہکسلے
Pierce Brosnan|پیئرس بروسنن
Anaxagoras|اناکسا غورث
Jacinto Benavente|جیکنٹو بناونٹی
Pius I|پائیس اول
Sher Shah Suri|شیر شاہ سوری
Khushal Khan Khattak|خوشحال خان خٹک
Ton Roosendaal|ٹون روزنڈل
Pär Lagerkvist|پارلگر کیوسٹ
Ehud Olmert|ایہود اولمرت
Hilary Swank|ہلیری سوانک
Paulette Goddard|پولیٹ گوڈارڈ
Murad I|مراد اول
Zhao Ziyang|زاؤ ژیانگ
Paul Berg|پاول برگ
Darius III|دارا سوم
Jennifer Connelly|جینیفر کونیلی
Urbain Le Verrier|اربین لے ویرئیر
Mohamed Naguib|محمد نجیب
Jack Szostak|جیک ڈبلیو. سزوسٹک
Sidney Sheldon|سڈنی شیلڈن
Geert Wilders|گیرت وائلڈرز
Holly Hunter|ہولی ہنٹر
Ei-ichi Negishi|ای ایچی نگیشی
Johan Albrecht de Mandelslo|جان البریخت میندلسلو
Arius|آریوس
Alexander Khalifman|الیگزینڈر خلیف مین
Richard F. Heck|رچرڈ ایف ہیک
Saul Perlmutter|ساول پرلموتر
Mirza Ghalib|مرزا اسد اللہ خان غالب
